:Data_list: 20101015_ace_swepam_1m.txt
:Created: 2010 Oct 16 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2010 10 15  0000   55484       0    0        6.7      281.7    -1.00e+05
2010 10 15  0001   55484      60    0        6.4      282.3     1.02e+04
2010 10 15  0002   55484     120    0        6.7      281.0    -1.00e+05
2010 10 15  0003   55484     180    0        7.0      282.1     1.05e+04
2010 10 15  0004   55484     240    0        6.9      281.5    -1.00e+05
2010 10 15  0005   55484     300    0        6.7      281.4    -1.00e+05
2010 10 15  0006   55484     360    0        6.7      281.2    -1.00e+05
2010 10 15  0007   55484     420    0        6.7      281.3     1.03e+04
2010 10 15  0008   55484     480    0        6.6      280.4    -1.00e+05
2010 10 15  0009   55484     540    0        7.3      283.1    -1.00e+05
2010 10 15  0010   55484     600    0        7.5      282.0    -1.00e+05
2010 10 15  0011   55484     660    0        6.8      282.4    -1.00e+05
2010 10 15  0012   55484     720    0        7.5      282.4    -1.00e+05
2010 10 15  0013   55484     780    0        6.9      283.3    -1.00e+05
2010 10 15  0014   55484     840    0        6.7      282.2    -1.00e+05
2010 10 15  0015   55484     900    0        7.2      282.8    -1.00e+05
2010 10 15  0016   55484     960    0        7.6      283.4    -1.00e+05
2010 10 15  0017   55484    1020    0        7.1      282.2    -1.00e+05
2010 10 15  0018   55484    1080    9    -9999.9    -9999.9    -1.00e+05
2010 10 15  0019   55484    1140    0        6.6      282.4    -1.00e+05
2010 10 15  0020   55484    1200    0        6.6      282.2    -1.00e+05
2010 10 15  0021   55484    1260    0        7.0      283.4    -1.00e+05
2010 10 15  0022   55484    1320    0        6.4      283.2    -1.00e+05
2010 10 15  0023   55484    1380    0        6.3      283.2    -1.00e+05
2010 10 15  0024   55484    1440    0        6.4      282.7    -1.00e+05
2010 10 15  0025   55484    1500    0        7.0      282.3    -1.00e+05
2010 10 15  0026   55484    1560    0        6.8      283.1    -1.00e+05
2010 10 15  0027   55484    1620    0        6.9      282.8    -1.00e+05
2010 10 15  0028   55484    1680    0        6.5      282.4    -1.00e+05
2010 10 15  0029   55484    1740    0        6.6      282.3    -1.00e+05
2010 10 15  0030   55484    1800    0        6.1      281.5    -1.00e+05
2010 10 15  0031   55484    1860    0        6.4      281.9    -1.00e+05
2010 10 15  0032   55484    1920    0        6.7      282.3    -1.00e+05
2010 10 15  0033   55484    1980    0        6.4      282.2    -1.00e+05
2010 10 15  0034   55484    2040    0        6.2      283.0    -1.00e+05
2010 10 15  0035   55484    2100    0        6.4      282.1    -1.00e+05
2010 10 15  0036   55484    2160    0        5.9      282.8    -1.00e+05
2010 10 15  0037   55484    2220    0        6.1      281.8     1.03e+04
2010 10 15  0038   55484    2280    0        5.9      282.8    -1.00e+05
2010 10 15  0039   55484    2340    0        5.9      281.6    -1.00e+05
2010 10 15  0040   55484    2400    0        6.4      282.8    -1.00e+05
2010 10 15  0041   55484    2460    0        5.7      280.8    -1.00e+05
2010 10 15  0042   55484    2520    0        5.8      281.4    -1.00e+05
2010 10 15  0043   55484    2580    0        6.0      281.6    -1.00e+05
2010 10 15  0044   55484    2640    0        6.1      282.5    -1.00e+05
2010 10 15  0045   55484    2700    0        6.4      281.3    -1.00e+05
2010 10 15  0046   55484    2760    0        6.1      281.8     1.02e+04
2010 10 15  0047   55484    2820    0        6.1      281.5     1.02e+04
2010 10 15  0048   55484    2880    0        6.1      281.2    -1.00e+05
2010 10 15  0049   55484    2940    0        5.3      277.6     1.01e+04
2010 10 15  0050   55484    3000    0        5.7      278.4    -1.00e+05
2010 10 15  0051   55484    3060    9    -9999.9    -9999.9    -1.00e+05
2010 10 15  0052   55484    3120    0        5.3      279.1    -1.00e+05
2010 10 15  0053   55484    3180    0        5.8      279.3     1.14e+04
2010 10 15  0054   55484    3240    0        5.6      277.5    -1.00e+05
2010 10 15  0055   55484    3300    0        6.1      278.5    -1.00e+05
2010 10 15  0056   55484    3360    0        6.0      278.1    -1.00e+05
2010 10 15  0057   55484    3420    0        5.3      277.5    -1.00e+05
2010 10 15  0058   55484    3480    0        5.4      278.3    -1.00e+05
2010 10 15  0059   55484    3540    0        5.5      277.8    -1.00e+05
2010 10 15  0100   55484    3600    0        5.9      277.7    -1.00e+05
2010 10 15  0101   55484    3660    0        5.8      278.4    -1.00e+05
2010 10 15  0102   55484    3720    0        5.8      278.1    -1.00e+05
2010 10 15  0103   55484    3780    0        5.8      278.0    -1.00e+05
2010 10 15  0104   55484    3840    0        5.9      277.8    -1.00e+05
2010 10 15  0105   55484    3900    0        5.9      278.4    -1.00e+05
2010 10 15  0106   55484    3960    0        5.4      277.5    -1.00e+05
2010 10 15  0107   55484    4020    0        5.3      277.1    -1.00e+05
2010 10 15  0108   55484    4080    0        5.4      277.3    -1.00e+05
2010 10 15  0109   55484    4140    0        6.0      278.8    -1.00e+05
2010 10 15  0110   55484    4200    0        5.8      278.9    -1.00e+05
2010 10 15  0111   55484    4260    0        6.1      277.6    -1.00e+05
2010 10 15  0112   55484    4320    0        5.5      277.3    -1.00e+05
2010 10 15  0113   55484    4380    0        5.7      278.1    -1.00e+05
2010 10 15  0114   55484    4440    0        5.3      278.9     1.04e+04
2010 10 15  0115   55484    4500    0        5.6      278.4    -1.00e+05
2010 10 15  0116   55484    4560    0        5.9      277.9     1.01e+04
2010 10 15  0117   55484    4620    0        5.7      277.6    -1.00e+05
2010 10 15  0118   55484    4680    0        5.6      276.5    -1.00e+05
2010 10 15  0119   55484    4740    0        5.5      276.8    -1.00e+05
2010 10 15  0120   55484    4800    0        5.4      277.1    -1.00e+05
2010 10 15  0121   55484    4860    0        5.6      278.3    -1.00e+05
2010 10 15  0122   55484    4920    0        5.8      277.2    -1.00e+05
2010 10 15  0123   55484    4980    0        5.4      277.9    -1.00e+05
2010 10 15  0124   55484    5040    9    -9999.9    -9999.9    -1.00e+05
2010 10 15  0125   55484    5100    0        4.9      276.6    -1.00e+05
2010 10 15  0126   55484    5160    0        5.4      277.5    -1.00e+05
2010 10 15  0127   55484    5220    0        5.5      278.6    -1.00e+05
2010 10 15  0128   55484    5280    0        5.4      276.6    -1.00e+05
2010 10 15  0129   55484    5340    0        5.4      277.5    -1.00e+05
2010 10 15  0130   55484    5400    0        5.1      276.7    -1.00e+05
2010 10 15  0131   55484    5460    0        5.3      276.3    -1.00e+05
2010 10 15  0132   55484    5520    0        5.6      277.3    -1.00e+05
2010 10 15  0133   55484    5580    0        5.5      277.8    -1.00e+05
2010 10 15  0134   55484    5640    0        5.9      276.5    -1.00e+05
2010 10 15  0135   55484    5700    0        5.6      277.7     1.01e+04
2010 10 15  0136   55484    5760    0        5.4      278.9     1.01e+04
2010 10 15  0137   55484    5820    0        5.5      277.5    -1.00e+05
2010 10 15  0138   55484    5880    0        5.6      276.9    -1.00e+05
2010 10 15  0139   55484    5940    0        6.0      277.3    -1.00e+05
2010 10 15  0140   55484    6000    0        5.9      277.6     1.06e+04
2010 10 15  0141   55484    6060    0        5.2      276.9    -1.00e+05
2010 10 15  0142   55484    6120    0        5.4      277.3    -1.00e+05
2010 10 15  0143   55484    6180    0        5.3      277.6    -1.00e+05
2010 10 15  0144   55484    6240    0        5.5      277.1    -1.00e+05
2010 10 15  0145   55484    6300    0        5.2      277.8    -1.00e+05
2010 10 15  0146   55484    6360    0        5.9      278.8    -1.00e+05
2010 10 15  0147   55484    6420    0        5.7      278.8    -1.00e+05
2010 10 15  0148   55484    6480    0        6.0      277.9    -1.00e+05
2010 10 15  0149   55484    6540    0        5.6      277.8    -1.00e+05
2010 10 15  0150   55484    6600    0        5.5      277.8     1.03e+04
