:Data_list: 20100709_ace_swepam_1m.txt
:Created: 2010 Jul 10 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2010 07 09  0000   55386       0    0        4.5      327.3     2.91e+04
2010 07 09  0001   55386      60    0        5.2      326.5     2.78e+04
2010 07 09  0002   55386     120    0        7.7      325.9     2.90e+04
2010 07 09  0003   55386     180    9    -9999.9    -9999.9    -1.00e+05
2010 07 09  0004   55386     240    0        5.7      326.2     3.10e+04
2010 07 09  0005   55386     300    0        6.0      328.6     2.92e+04
2010 07 09  0006   55386     360    0        4.7      324.2     2.56e+04
2010 07 09  0007   55386     420    9    -9999.9    -9999.9    -1.00e+05
2010 07 09  0008   55386     480    0        6.2      320.5     2.54e+04
2010 07 09  0009   55386     540    0        4.7      324.2     3.15e+04
2010 07 09  0010   55386     600    6    -9999.9    -9999.9    -1.00e+05
2010 07 09  0011   55386     660    0        5.0      322.2     2.91e+04
2010 07 09  0012   55386     720    0        5.0      322.2     2.91e+04
2010 07 09  0013   55386     780    9    -9999.9    -9999.9    -1.00e+05
2010 07 09  0014   55386     840    0        5.7      320.5     2.69e+04
2010 07 09  0015   55386     900    0        3.9      323.5     2.61e+04
2010 07 09  0016   55386     960    0        3.9      322.8     3.32e+04
2010 07 09  0017   55386    1020    0        4.0      321.1     2.10e+04
2010 07 09  0018   55386    1080    0        5.3      320.4     2.46e+04
2010 07 09  0019   55386    1140    0        5.1      323.4     2.31e+04
2010 07 09  0020   55386    1200    0        5.7      328.7     2.78e+04
2010 07 09  0021   55386    1260    9    -9999.9    -9999.9    -1.00e+05
2010 07 09  0022   55386    1320    0        5.0      320.6     2.47e+04
2010 07 09  0023   55386    1380    0        4.8      318.7     2.18e+04
2010 07 09  0024   55386    1440    0        4.7      319.9     2.55e+04
2010 07 09  0025   55386    1500    0        5.2      320.0     2.24e+04
2010 07 09  0026   55386    1560    9    -9999.9    -9999.9    -1.00e+05
2010 07 09  0027   55386    1620    0        4.7      327.4     3.08e+04
2010 07 09  0028   55386    1680    0        4.7      327.4     3.08e+04
2010 07 09  0029   55386    1740    0        5.2      320.3     2.56e+04
2010 07 09  0030   55386    1800    0        4.3      327.9     2.57e+04
2010 07 09  0031   55386    1860    0        4.9      332.7     3.49e+04
2010 07 09  0032   55386    1920    9    -9999.9    -9999.9    -1.00e+05
2010 07 09  0033   55386    1980    0        5.9      332.5     2.73e+04
2010 07 09  0034   55386    2040    0        4.6      329.6     3.85e+04
2010 07 09  0035   55386    2100    0        3.6      334.7     3.75e+04
2010 07 09  0036   55386    2160    6    -9999.9    -9999.9    -1.00e+05
2010 07 09  0037   55386    2220    0        3.9      332.7     4.56e+04
2010 07 09  0038   55386    2280    0        3.7      335.7     4.52e+04
2010 07 09  0039   55386    2340    9    -9999.9    -9999.9    -1.00e+05
2010 07 09  0040   55386    2400    0        3.0      323.8     1.94e+04
2010 07 09  0041   55386    2460    0        5.1      338.7     3.86e+04
2010 07 09  0042   55386    2520    9    -9999.9    -9999.9    -1.00e+05
2010 07 09  0043   55386    2580    0        5.2      338.6     3.34e+04
2010 07 09  0044   55386    2640    0        5.2      338.6     3.34e+04
2010 07 09  0045   55386    2700    0        3.6      333.2     4.64e+04
2010 07 09  0046   55386    2760    9    -9999.9    -9999.9    -1.00e+05
2010 07 09  0047   55386    2820    0        1.8      333.3     4.84e+04
2010 07 09  0048   55386    2880    9    -9999.9    -9999.9    -1.00e+05
2010 07 09  0049   55386    2940    0        3.4      337.7     2.90e+04
2010 07 09  0050   55386    3000    9    -9999.9    -9999.9    -1.00e+05
2010 07 09  0051   55386    3060    0        3.4      334.3     4.48e+04
2010 07 09  0052   55386    3120    0        3.6      333.7     5.03e+04
2010 07 09  0053   55386    3180    0        4.0      332.4     4.12e+04
2010 07 09  0054   55386    3240    0        3.9      335.7     4.66e+04
2010 07 09  0055   55386    3300    0        3.5      334.5     4.49e+04
2010 07 09  0056   55386    3360    0        3.0      335.3     4.59e+04
2010 07 09  0057   55386    3420    0        3.2      332.0     4.27e+04
