:Data_list: 20090411_ace_swepam_1m.txt
:Created: 2009 Apr 12 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2009 04 11  0000   54932       0    0        2.3      526.9     1.18e+05
2009 04 11  0001   54932      60    0        2.6      524.8     1.09e+05
2009 04 11  0002   54932     120    0        2.6      525.7     1.04e+05
2009 04 11  0003   54932     180    0        2.6      526.5     1.07e+05
2009 04 11  0004   54932     240    0        2.7      529.1     1.02e+05
2009 04 11  0005   54932     300    0        2.6      528.6     1.00e+05
2009 04 11  0006   54932     360    0        2.6      530.6     1.02e+05
2009 04 11  0007   54932     420    0        2.4      531.5     1.01e+05
2009 04 11  0008   54932     480    0        2.5      533.5     1.13e+05
2009 04 11  0009   54932     540    0        2.4      533.7     1.05e+05
2009 04 11  0010   54932     600    0        2.4      533.7     1.05e+05
2009 04 11  0011   54932     660    9    -9999.9    -9999.9    -1.00e+05
2009 04 11  0012   54932     720    0        2.2      520.9     1.05e+05
2009 04 11  0013   54932     780    0        2.1      534.9     1.45e+05
2009 04 11  0014   54932     840    0        2.0      545.1     1.47e+05
2009 04 11  0015   54932     900    0        1.9      538.5     1.39e+05
2009 04 11  0016   54932     960    0        1.9      532.1     1.30e+05
2009 04 11  0017   54932    1020    0        1.9      526.6     1.33e+05
2009 04 11  0018   54932    1080    0        1.7      520.0     1.15e+05
2009 04 11  0019   54932    1140    0        1.8      519.7     1.28e+05
2009 04 11  0020   54932    1200    0        1.8      544.4     1.22e+05
2009 04 11  0021   54932    1260    0        1.8      536.0     1.23e+05
2009 04 11  0022   54932    1320    0        2.1      535.8     1.08e+05
2009 04 11  0023   54932    1380    0        2.0      533.7     1.21e+05
2009 04 11  0024   54932    1440    0        2.2      532.4     1.21e+05
2009 04 11  0025   54932    1500    0        2.2      534.7     1.09e+05
2009 04 11  0026   54932    1560    0        2.2      534.7     1.09e+05
2009 04 11  0027   54932    1620    0        1.9      533.1     1.19e+05
2009 04 11  0028   54932    1680    0        1.5      536.5     1.33e+05
2009 04 11  0029   54932    1740    0        1.7      537.3     1.20e+05
2009 04 11  0030   54932    1800    0        1.7      537.5     1.19e+05
2009 04 11  0031   54932    1860    0        1.9      537.0     1.42e+05
2009 04 11  0032   54932    1920    0        2.0      539.4     1.26e+05
2009 04 11  0033   54932    1980    0        1.8      542.0     1.13e+05
2009 04 11  0034   54932    2040    0        1.8      541.1     1.16e+05
2009 04 11  0035   54932    2100    0        1.9      538.0     1.25e+05
2009 04 11  0036   54932    2160    0        2.1      539.3     1.39e+05
2009 04 11  0037   54932    2220    0        2.0      539.0     1.34e+05
2009 04 11  0038   54932    2280    0        2.0      540.9     1.27e+05
2009 04 11  0039   54932    2340    0        1.7      538.0     1.37e+05
2009 04 11  0040   54932    2400    0        1.9      541.3     1.63e+05
2009 04 11  0041   54932    2460    0        1.8      545.2     1.58e+05
2009 04 11  0042   54932    2520    0        1.8      545.2     1.58e+05
2009 04 11  0043   54932    2580    0        1.9      543.6     1.58e+05
2009 04 11  0044   54932    2640    9    -9999.9    -9999.9    -1.00e+05
2009 04 11  0045   54932    2700    0        1.5      536.4     1.21e+05
2009 04 11  0046   54932    2760    0        1.5      537.8     1.30e+05
2009 04 11  0047   54932    2820    0        1.8      542.8     1.33e+05
2009 04 11  0048   54932    2880    0        1.7      542.8     1.12e+05
2009 04 11  0049   54932    2940    0        1.9      543.9     1.14e+05
2009 04 11  0050   54932    3000    0        1.3      542.0     1.34e+05
2009 04 11  0051   54932    3060    0        1.5      540.7     1.43e+05
2009 04 11  0052   54932    3120    0        2.2      533.9     1.73e+05
2009 04 11  0053   54932    3180    0        1.9      533.7     1.63e+05
2009 04 11  0054   54932    3240    0        2.1      528.2     1.87e+05
2009 04 11  0055   54932    3300    0        2.0      528.6     1.42e+05
2009 04 11  0056   54932    3360    0        2.2      528.2     1.45e+05
2009 04 11  0057   54932    3420    0        2.3      525.6     1.19e+05
2009 04 11  0058   54932    3480    0        2.3      525.6     1.19e+05
2009 04 11  0059   54932    3540    0        2.2      524.0     1.39e+05
2009 04 11  0100   54932    3600    0        2.2      521.7     1.27e+05
2009 04 11  0101   54932    3660    0        2.2      529.4     1.66e+05
2009 04 11  0102   54932    3720    0        2.2      526.9     1.61e+05
2009 04 11  0103   54932    3780    0        2.0      530.0     1.72e+05
2009 04 11  0104   54932    3840    0        2.3      529.0     1.58e+05
2009 04 11  0105   54932    3900    0        2.4      532.9     1.34e+05
2009 04 11  0106   54932    3960    0        2.4      535.4     1.57e+05
2009 04 11  0107   54932    4020    0        1.6      524.1     1.23e+05
2009 04 11  0108   54932    4080    0        2.3      529.4     1.22e+05
2009 04 11  0109   54932    4140    0        1.9      528.5     1.46e+05
2009 04 11  0110   54932    4200    0        2.0      525.3     1.41e+05
2009 04 11  0111   54932    4260    0        2.1      523.8     1.43e+05
2009 04 11  0112   54932    4320    0        1.9      537.1     1.84e+05
2009 04 11  0113   54932    4380    0        2.0      532.5     1.58e+05
2009 04 11  0114   54932    4440    0        2.0      532.5     1.58e+05
2009 04 11  0115   54932    4500    0        2.2      534.2     1.53e+05
2009 04 11  0116   54932    4560    0        1.0      547.5     2.30e+05
2009 04 11  0117   54932    4620    9    -9999.9    -9999.9    -1.00e+05
2009 04 11  0118   54932    4680    0        2.2      535.7     1.67e+05
2009 04 11  0119   54932    4740    1        1.9      532.2     1.82e+05
2009 04 11  0120   54932    4800    0        2.1      538.8     1.55e+05
2009 04 11  0121   54932    4860    0        2.1      539.6     1.57e+05
2009 04 11  0122   54932    4920    0        2.1      530.3     1.65e+05
2009 04 11  0123   54932    4980    0        2.0      528.2     1.69e+05
2009 04 11  0124   54932    5040    0        2.3      525.6     1.63e+05
2009 04 11  0125   54932    5100    0        2.2      528.0     1.61e+05
2009 04 11  0126   54932    5160    0        2.3      523.3     1.53e+05
2009 04 11  0127   54932    5220    0        2.2      527.5     1.69e+05
2009 04 11  0128   54932    5280    0        2.0      529.8     1.49e+05
