:Data_list: 20230708_ace_epam_5m.txt
:Created: 2023 Jul 09 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
#
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux ---------------------------
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   795-1193 1060-1900   Index
#-------------------------------------------------------------------------------------------------------------------
2023 07 08  0000   60133       0  0  7.01e+02  1.77e+01  0  2.06e+03  1.67e+01  1.87e+00  5.49e-01  1.59e-01  -1.00
2023 07 08  0005   60133     300  0  1.06e+03  2.04e+01  0  2.10e+03  1.59e+01  2.00e+00  6.86e-01  1.70e-01  -1.00
2023 07 08  0010   60133     600  0  7.83e+02  2.07e+01  0  2.03e+03  1.57e+01  1.56e+00  5.25e-01  1.36e-01  -1.00
2023 07 08  0015   60133     900  0  8.20e+02  1.61e+01  0  2.14e+03  1.71e+01  1.71e+00  5.62e-01  2.19e-01  -1.00
2023 07 08  0020   60133    1200  0  7.54e+02  1.49e+01  0  2.00e+03  1.55e+01  1.89e+00  5.59e-01  1.55e-01  -1.00
2023 07 08  0025   60133    1500  0  8.58e+02  1.98e+01  0  2.20e+03  1.57e+01  2.16e+00  4.11e-01  1.90e-01  -1.00
2023 07 08  0030   60133    1800  0  7.87e+02  1.42e+01  0  2.07e+03  1.85e+01  1.72e+00  3.74e-01  1.64e-01  -1.00
2023 07 08  0035   60133    2100  0  8.05e+02  1.83e+01  0  2.01e+03  1.78e+01  2.21e+00  5.12e-01  2.07e-01  -1.00
2023 07 08  0040   60133    2400  0  9.89e+02  1.59e+01  0  2.08e+03  1.57e+01  1.58e+00  5.17e-01  1.06e-01  -1.00
2023 07 08  0045   60133    2700  0  8.30e+02  1.83e+01  0  2.08e+03  1.56e+01  1.94e+00  4.14e-01  1.25e-01  -1.00
