:Data_list: 20081113_ace_swepam_1m.txt
:Created: 2008 Nov 14 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2008 11 13  0000   54783       0    0        1.9      323.2     2.86e+04
2008 11 13  0001   54783      60    0        2.6      316.3     3.67e+04
2008 11 13  0002   54783     120    0        2.4      315.8     3.45e+04
2008 11 13  0003   54783     180    0        2.2      314.3     4.64e+04
2008 11 13  0004   54783     240    0        2.2      314.0     3.93e+04
2008 11 13  0005   54783     300    0        2.6      312.9     3.84e+04
2008 11 13  0006   54783     360    0        2.3      312.4     4.25e+04
2008 11 13  0007   54783     420    0        2.7      316.4     4.01e+04
2008 11 13  0008   54783     480    0        2.7      316.4     4.01e+04
2008 11 13  0009   54783     540    0        2.4      317.8     4.15e+04
2008 11 13  0010   54783     600    0        2.5      319.3     3.77e+04
2008 11 13  0011   54783     660    0        2.6      319.9     3.04e+04
2008 11 13  0012   54783     720    0        2.8      320.5     3.23e+04
2008 11 13  0013   54783     780    0        1.9      319.3     4.34e+04
2008 11 13  0014   54783     840    0        2.3      315.8     3.76e+04
2008 11 13  0015   54783     900    0        2.7      316.1     3.85e+04
2008 11 13  0016   54783     960    0        2.7      314.3     3.25e+04
2008 11 13  0017   54783    1020    0        2.6      316.1     3.66e+04
2008 11 13  0018   54783    1080    9    -9999.9    -9999.9    -1.00e+05
2008 11 13  0019   54783    1140    9    -9999.9    -9999.9    -1.00e+05
2008 11 13  0020   54783    1200    0        2.4      315.5     3.70e+04
2008 11 13  0021   54783    1260    0        2.6      314.2     4.52e+04
2008 11 13  0022   54783    1320    9    -9999.9    -9999.9    -1.00e+05
2008 11 13  0023   54783    1380    0        2.6      317.0     4.07e+04
2008 11 13  0024   54783    1440    0        2.6      317.0     4.07e+04
2008 11 13  0025   54783    1500    0        2.6      315.1     3.94e+04
2008 11 13  0026   54783    1560    0        2.6      313.4     3.65e+04
2008 11 13  0027   54783    1620    0        2.6      315.4     3.83e+04
2008 11 13  0028   54783    1680    0        2.3      314.0     3.69e+04
2008 11 13  0029   54783    1740    0        2.9      313.3     3.41e+04
2008 11 13  0030   54783    1800    0        2.3      311.9     3.21e+04
2008 11 13  0031   54783    1860    0        2.5      312.9     3.47e+04
2008 11 13  0032   54783    1920    0        2.3      314.0     3.16e+04
2008 11 13  0033   54783    1980    0        2.8      312.6     3.16e+04
2008 11 13  0034   54783    2040    0        2.0      310.1     3.18e+04
2008 11 13  0035   54783    2100    0        2.5      313.3     3.60e+04
2008 11 13  0036   54783    2160    0        2.4      308.8     3.08e+04
2008 11 13  0037   54783    2220    0        2.4      311.3     3.52e+04
2008 11 13  0038   54783    2280    0        2.4      315.2     3.29e+04
2008 11 13  0039   54783    2340    0        2.5      314.1     3.10e+04
2008 11 13  0040   54783    2400    0        2.5      314.1     3.10e+04
2008 11 13  0041   54783    2460    0        2.3      310.1     3.52e+04
2008 11 13  0042   54783    2520    0        2.2      314.2     3.90e+04
2008 11 13  0043   54783    2580    0        2.5      313.4     2.97e+04
2008 11 13  0044   54783    2640    0        2.7      309.6     3.08e+04
2008 11 13  0045   54783    2700    0        2.4      311.1     3.31e+04
2008 11 13  0046   54783    2760    0        2.6      308.3     3.40e+04
2008 11 13  0047   54783    2820    0        2.2      312.5     3.62e+04
2008 11 13  0048   54783    2880    0        2.5      313.1     3.67e+04
2008 11 13  0049   54783    2940    0        2.4      313.2     3.95e+04
