:Data_list: 20230912_ace_sis_5m.txt
:Created: 2023 Sep 12 0901 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2023 09 12  0000    60199       0      0    9.93e-01    0    6.86e-01
2023 09 12  0005    60199     300      0    1.02e+00    0    7.14e-01
2023 09 12  0010    60199     600      0    1.00e+00    0    6.87e-01
2023 09 12  0015    60199     900      0    9.98e-01    0    6.97e-01
2023 09 12  0020    60199    1200      0    1.01e+00    0    7.09e-01
2023 09 12  0025    60199    1500      0    1.00e+00    0    7.01e-01
2023 09 12  0030    60199    1800      0    9.82e-01    0    6.81e-01
2023 09 12  0035    60199    2100      0    9.95e-01    0    6.88e-01
2023 09 12  0040    60199    2400      0    9.78e-01    0    6.83e-01
2023 09 12  0045    60199    2700      0    1.02e+00    0    7.09e-01
2023 09 12  0050    60199    3000      0    9.65e-01    0    6.70e-01
2023 09 12  0055    60199    3300      0    9.84e-01    0    6.79e-01
2023 09 12  0100    60199    3600      0    9.91e-01    0    6.86e-01
2023 09 12  0105    60199    3900      0    1.01e+00    0    6.94e-01
2023 09 12  0110    60199    4200      0    1.00e+00    0    6.94e-01
2023 09 12  0115    60199    4500      0    1.01e+00    0    7.02e-01
2023 09 12  0120    60199    4800      0    1.02e+00    0    7.01e-01
2023 09 12  0125    60199    5100      0    9.78e-01    0    6.76e-01
2023 09 12  0130    60199    5400      0    9.90e-01    0    6.92e-01
2023 09 12  0135    60199    5700      0    9.87e-01    0    6.85e-01
2023 09 12  0140    60199    6000      0    1.02e+00    0    7.03e-01
2023 09 12  0145    60199    6300      0    9.82e-01    0    6.73e-01
2023 09 12  0150    60199    6600      0    1.01e+00    0    7.04e-01
2023 09 12  0155    60199    6900      0    1.00e+00    0    6.95e-01
2023 09 12  0200    60199    7200      0    1.02e+00    0    7.02e-01
2023 09 12  0205    60199    7500      0    1.01e+00    0    6.95e-01
2023 09 12  0210    60199    7800      0    9.96e-01    0    6.89e-01
2023 09 12  0215    60199    8100      0    1.01e+00    0    7.08e-01
2023 09 12  0220    60199    8400      0    9.90e-01    0    6.84e-01
2023 09 12  0225    60199    8700      0    9.81e-01    0    6.84e-01
2023 09 12  0230    60199    9000      0    9.96e-01    0    6.83e-01
2023 09 12  0235    60199    9300      0    9.95e-01    0    6.80e-01
2023 09 12  0240    60199    9600      0    9.74e-01    0    6.70e-01
2023 09 12  0245    60199    9900      0    9.78e-01    0    6.70e-01
2023 09 12  0250    60199   10200      0    1.01e+00    0    6.98e-01
2023 09 12  0255    60199   10500      0    9.91e-01    0    6.82e-01
2023 09 12  0300    60199   10800      0    9.85e-01    0    6.74e-01
2023 09 12  0305    60199   11100      0    9.69e-01    0    6.62e-01
2023 09 12  0310    60199   11400      0    9.78e-01    0    6.70e-01
2023 09 12  0315    60199   11700      0    9.94e-01    0    6.80e-01
2023 09 12  0320    60199   12000      0    1.03e+00    0    7.12e-01
2023 09 12  0325    60199   12300      0    9.92e-01    0    6.86e-01
2023 09 12  0330    60199   12600      0    1.00e+00    0    6.98e-01
2023 09 12  0335    60199   12900      0    9.73e-01    0    6.73e-01
2023 09 12  0340    60199   13200      0    9.66e-01    0    6.65e-01
2023 09 12  0345    60199   13500      0    9.84e-01    0    6.78e-01
2023 09 12  0350    60199   13800      0    1.00e+00    0    6.87e-01
2023 09 12  0355    60199   14100      9   -1.00e+05    9   -1.00e+05
2023 09 12  0400    60199   14400      0    9.79e-01    0    6.89e-01
2023 09 12  0405    60199   14700      0    9.98e-01    0    6.89e-01
2023 09 12  0410    60199   15000      0    9.97e-01    0    6.86e-01
2023 09 12  0415    60199   15300      0    9.87e-01    0    6.72e-01
2023 09 12  0420    60199   15600      0    1.00e+00    0    7.02e-01
2023 09 12  0425    60199   15900      0    1.02e+00    0    7.11e-01
2023 09 12  0430    60199   16200      0    1.01e+00    0    6.99e-01
2023 09 12  0435    60199   16500      0    9.98e-01    0    6.90e-01
2023 09 12  0440    60199   16800      0    9.95e-01    0    6.91e-01
2023 09 12  0445    60199   17100      0    1.00e+00    0    7.01e-01
2023 09 12  0450    60199   17400      0    9.89e-01    0    6.80e-01
2023 09 12  0455    60199   17700      0    1.01e+00    0    6.92e-01
2023 09 12  0500    60199   18000      0    1.01e+00    0    6.94e-01
2023 09 12  0505    60199   18300      0    1.02e+00    0    7.02e-01
2023 09 12  0510    60199   18600      0    1.02e+00    0    7.03e-01
2023 09 12  0515    60199   18900      0    9.97e-01    0    6.92e-01
2023 09 12  0520    60199   19200      0    1.01e+00    0    7.07e-01
2023 09 12  0525    60199   19500      0    9.68e-01    0    6.66e-01
2023 09 12  0530    60199   19800      0    9.93e-01    0    6.83e-01
2023 09 12  0535    60199   20100      0    1.00e+00    0    6.89e-01
2023 09 12  0540    60199   20400      0    1.01e+00    0    6.88e-01
2023 09 12  0545    60199   20700      0    1.03e+00    0    7.08e-01
2023 09 12  0550    60199   21000      0    1.02e+00    0    7.05e-01
2023 09 12  0555    60199   21300      0    1.01e+00    0    6.94e-01
2023 09 12  0600    60199   21600      0    1.01e+00    0    6.92e-01
2023 09 12  0605    60199   21900      0    9.97e-01    0    6.86e-01
2023 09 12  0610    60199   22200      0    1.02e+00    0    7.03e-01
2023 09 12  0615    60199   22500      0    1.01e+00    0    6.94e-01
2023 09 12  0620    60199   22800      0    9.98e-01    0    6.93e-01
2023 09 12  0625    60199   23100      0    9.99e-01    0    6.98e-01
2023 09 12  0630    60199   23400      0    9.99e-01    0    6.89e-01
2023 09 12  0635    60199   23700      0    9.88e-01    0    6.87e-01
2023 09 12  0640    60199   24000      0    1.00e+00    0    6.92e-01
2023 09 12  0645    60199   24300      0    9.90e-01    0    6.88e-01
2023 09 12  0650    60199   24600      0    1.01e+00    0    6.97e-01
2023 09 12  0655    60199   24900      0    1.01e+00    0    7.03e-01
2023 09 12  0700    60199   25200      0    1.00e+00    0    7.00e-01
2023 09 12  0705    60199   25500      0    9.77e-01    0    6.79e-01
2023 09 12  0710    60199   25800      0    1.01e+00    0    7.00e-01
2023 09 12  0715    60199   26100      0    1.00e+00    0    7.02e-01
2023 09 12  0720    60199   26400      0    9.89e-01    0    6.82e-01
2023 09 12  0725    60199   26700      0    9.80e-01    0    6.81e-01
2023 09 12  0730    60199   27000      0    9.80e-01    0    6.75e-01
2023 09 12  0735    60199   27300      0    1.01e+00    0    7.00e-01
2023 09 12  0740    60199   27600      0    9.98e-01    0    6.94e-01
2023 09 12  0745    60199   27900      0    1.01e+00    0    7.01e-01
2023 09 12  0750    60199   28200      0    9.85e-01    0    6.81e-01
2023 09 12  0755    60199   28500      0    9.94e-01    0    6.95e-01
2023 09 12  0800    60199   28800      0    1.01e+00    0    7.02e-01
2023 09 12  0805    60199   29100      0    9.82e-01    0    6.82e-01
2023 09 12  0810    60199   29400      0    9.71e-01    0    6.77e-01
2023 09 12  0815    60199   29700      0    1.01e+00    0    7.01e-01
2023 09 12  0820    60199   30000      0    9.99e-01    0    6.94e-01
2023 09 12  0825    60199   30300      0    9.89e-01    0    6.90e-01
2023 09 12  0830    60199   30600      0    1.00e+00    0    7.03e-01
2023 09 12  0835    60199   30900      0    1.01e+00    0    7.06e-01
2023 09 12  0840    60199   31200      0    1.02e+00    0    7.13e-01
2023 09 12  0845    60199   31500      0    1.03e+00    0    7.18e-01
2023 09 12  0850    60199   31800      0    1.01e+00    0    6.88e-01
2023 09 12  0855    60199   32100      9   -1.00e+05    9   -1.00e+05
