:Data_list: 20230603_ace_epam_5m.txt
:Created: 2023 Jun 04 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
#
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux ---------------------------
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   795-1193 1060-1900   Index
#-------------------------------------------------------------------------------------------------------------------
2023 06 03  0000   60098       0  0  1.29e+03  2.47e+01  0  3.31e+03  3.27e+02  5.58e+01  1.12e+01  3.37e+00  -1.00
2023 06 03  0005   60098     300  0  1.40e+03  2.59e+01  0  3.11e+03  3.40e+02  6.13e+01  1.23e+01  3.44e+00  -1.00
2023 06 03  0010   60098     600  0  1.55e+03  2.52e+01  0  3.31e+03  3.16e+02  5.84e+01  1.26e+01  3.42e+00  -1.00
2023 06 03  0015   60098     900  0  1.37e+03  2.39e+01  0  3.33e+03  3.26e+02  6.26e+01  1.22e+01  3.42e+00  -1.00
2023 06 03  0020   60098    1200  0  1.33e+03  2.27e+01  0  3.24e+03  3.55e+02  6.05e+01  1.24e+01  3.41e+00  -1.00
2023 06 03  0025   60098    1500  0  1.46e+03  2.39e+01  0  3.44e+03  3.56e+02  6.09e+01  1.29e+01  3.52e+00  -1.00
2023 06 03  0030   60098    1800  0  1.38e+03  2.47e+01  0  3.17e+03  3.16e+02  5.68e+01  1.38e+01  3.30e+00  -1.00
2023 06 03  0035   60098    2100  0  1.40e+03  2.61e+01  0  2.99e+03  2.67e+02  4.45e+01  1.56e+01  2.99e+00  -1.00
2023 06 03  0040   60098    2400  0  1.53e+03  2.41e+01  0  3.19e+03  3.07e+02  5.23e+01  1.34e+01  3.48e+00  -1.00
2023 06 03  0045   60098    2700  0  1.56e+03  2.38e+01  0  3.18e+03  2.94e+02  5.30e+01  1.33e+01  3.04e+00  -1.00
2023 06 03  0050   60098    3000  0  1.47e+03  2.45e+01  0  3.30e+03  3.19e+02  5.44e+01  1.28e+01  3.22e+00  -1.00
2023 06 03  0055   60098    3300  0  1.35e+03  2.18e+01  0  3.09e+03  3.08e+02  5.20e+01  1.24e+01  2.81e+00  -1.00
2023 06 03  0100   60098    3600  0  1.60e+03  2.53e+01  0  3.19e+03  3.28e+02  5.67e+01  1.30e+01  3.26e+00  -1.00
2023 06 03  0105   60098    3900  0  1.41e+03  2.75e+01  0  3.15e+03  3.22e+02  5.54e+01  1.27e+01  3.40e+00  -1.00
