:Data_list: 20100105_ace_swepam_1m.txt
:Created: 2010 Jan 06 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2010 01 05  0000   55201       0    0        3.9      293.9     4.99e+04
2010 01 05  0001   55201      60    1        4.2      295.3     5.66e+04
2010 01 05  0002   55201     120    0        3.6      292.5     5.30e+04
2010 01 05  0003   55201     180    0        3.9      297.4     5.09e+04
2010 01 05  0004   55201     240    0        3.9      294.5     4.76e+04
2010 01 05  0005   55201     300    9    -9999.9    -9999.9    -1.00e+05
2010 01 05  0006   55201     360    0        3.0      309.7     2.53e+04
2010 01 05  0007   55201     420    0        3.0      309.7     2.53e+04
2010 01 05  0008   55201     480    0        3.5      296.1     4.09e+04
2010 01 05  0009   55201     540    0        3.7      297.2     4.39e+04
2010 01 05  0010   55201     600    1        3.7      295.9     5.44e+04
2010 01 05  0011   55201     660    0        5.0      302.3     4.19e+04
2010 01 05  0012   55201     720    0        4.8      303.3     4.16e+04
2010 01 05  0013   55201     780    0        5.3      304.9     3.78e+04
2010 01 05  0014   55201     840    0        5.1      308.2     3.71e+04
2010 01 05  0015   55201     900    0        5.6      308.2     4.11e+04
2010 01 05  0016   55201     960    0        5.6      307.0     3.70e+04
2010 01 05  0017   55201    1020    0        5.8      309.6     3.65e+04
2010 01 05  0018   55201    1080    0        5.6      309.4     4.30e+04
2010 01 05  0019   55201    1140    0        3.6      309.3     3.49e+04
2010 01 05  0020   55201    1200    0        4.2      308.5     3.06e+04
2010 01 05  0021   55201    1260    0        5.3      309.2     2.84e+04
2010 01 05  0022   55201    1320    0        3.9      309.4     3.65e+04
2010 01 05  0023   55201    1380    0        3.9      309.4     3.65e+04
2010 01 05  0024   55201    1440    0        5.1      311.5     2.55e+04
2010 01 05  0025   55201    1500    0        4.6      308.2     2.86e+04
2010 01 05  0026   55201    1560    0        4.6      306.7     2.91e+04
2010 01 05  0027   55201    1620    0        4.6      308.8     2.64e+04
2010 01 05  0028   55201    1680    0        4.3      307.6     3.31e+04
2010 01 05  0029   55201    1740    0        3.8      306.8     3.37e+04
2010 01 05  0030   55201    1800    0        4.5      304.0     2.97e+04
2010 01 05  0031   55201    1860    0        6.0      313.9     3.18e+04
2010 01 05  0032   55201    1920    0        4.4      307.7     2.73e+04
2010 01 05  0033   55201    1980    0        4.4      308.8     3.82e+04
2010 01 05  0034   55201    2040    0        3.7      307.2     2.65e+04
2010 01 05  0035   55201    2100    0        4.0      302.0     2.94e+04
2010 01 05  0036   55201    2160    0        4.6      299.9     3.05e+04
2010 01 05  0037   55201    2220    0        4.0      304.0     2.66e+04
2010 01 05  0038   55201    2280    9    -9999.9    -9999.9    -1.00e+05
2010 01 05  0039   55201    2340    9    -9999.9    -9999.9    -1.00e+05
2010 01 05  0040   55201    2400    0        3.6      306.6     1.76e+04
2010 01 05  0041   55201    2460    0        6.0      310.0     3.70e+04
2010 01 05  0042   55201    2520    0        5.9      314.9     3.01e+04
2010 01 05  0043   55201    2580    0        5.5      313.0     2.83e+04
2010 01 05  0044   55201    2640    0        4.6      307.8     3.24e+04
2010 01 05  0045   55201    2700    0        4.4      304.5     3.83e+04
2010 01 05  0046   55201    2760    0        4.4      305.7     3.09e+04
2010 01 05  0047   55201    2820    0        4.5      307.7     4.19e+04
2010 01 05  0048   55201    2880    0        4.5      303.5     4.14e+04
2010 01 05  0049   55201    2940    0        4.9      307.2     4.46e+04
2010 01 05  0050   55201    3000    0        4.2      303.9     4.30e+04
2010 01 05  0051   55201    3060    0        3.9      307.1     4.41e+04
2010 01 05  0052   55201    3120    0        4.0      305.5     3.47e+04
2010 01 05  0053   55201    3180    0        5.2      311.3     3.31e+04
2010 01 05  0054   55201    3240    0        5.7      311.9     3.01e+04
2010 01 05  0055   55201    3300    0        5.7      311.9     3.01e+04
2010 01 05  0056   55201    3360    0        4.4      307.3     4.03e+04
2010 01 05  0057   55201    3420    0        4.3      301.6     2.82e+04
2010 01 05  0058   55201    3480    0        4.7      306.9     3.49e+04
2010 01 05  0059   55201    3540    0        5.0      305.2     3.76e+04
2010 01 05  0100   55201    3600    0        4.7      304.4     3.92e+04
2010 01 05  0101   55201    3660    0        4.4      305.5     4.21e+04
2010 01 05  0102   55201    3720    0        4.3      304.6     3.51e+04
2010 01 05  0103   55201    3780    0        5.1      306.7     3.30e+04
2010 01 05  0104   55201    3840    0        4.4      305.9     3.75e+04
2010 01 05  0105   55201    3900    0        4.3      303.6     3.24e+04
2010 01 05  0106   55201    3960    0        3.7      300.2     3.21e+04
