:Data_list: 20100221_ace_swepam_1m.txt
:Created: 2010 Feb 22 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2010 02 21  0000   55248       0    0        2.2      386.2     1.05e+05
2010 02 21  0001   55248      60    0        2.3      387.6     7.00e+04
2010 02 21  0002   55248     120    0        2.3      386.3     4.58e+04
2010 02 21  0003   55248     180    0        1.9      391.7     3.77e+04
2010 02 21  0004   55248     240    0        2.4      395.4     5.97e+04
2010 02 21  0005   55248     300    0        2.4      395.4     5.97e+04
2010 02 21  0006   55248     360    0        2.5      392.6     5.92e+04
2010 02 21  0007   55248     420    0        2.2      393.9     5.40e+04
2010 02 21  0008   55248     480    0        2.2      386.1     5.77e+04
2010 02 21  0009   55248     540    0        2.6      383.4     4.43e+04
2010 02 21  0010   55248     600    0        2.3      385.2     5.43e+04
2010 02 21  0011   55248     660    0        2.3      386.5     3.48e+04
2010 02 21  0012   55248     720    0        2.5      386.6     4.73e+04
2010 02 21  0013   55248     780    0        2.4      389.9     4.76e+04
2010 02 21  0014   55248     840    0        2.7      379.5     5.95e+04
2010 02 21  0015   55248     900    0        2.7      378.5     6.47e+04
2010 02 21  0016   55248     960    0        2.7      375.9     7.00e+04
2010 02 21  0017   55248    1020    0        2.9      377.0     5.12e+04
