:Data_list: 20110510_ace_mag_1m.txt
:Created: 2011 May 11 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2011 05 10  0000   55691       0    0    -1.4     0.4     3.9     4.2    69.4   166.0
2011 05 10  0001   55691      60    0    -1.7     0.5     3.8     4.2    65.0   165.0
2011 05 10  0002   55691     120    0    -1.6     0.3     3.8     4.2    66.4   170.3
2011 05 10  0003   55691     180    0    -1.6     0.3     3.7     4.1    66.8   170.6
2011 05 10  0004   55691     240    0    -1.8     0.0     3.7     4.1    64.6   178.8
2011 05 10  0005   55691     300    0    -1.7    -0.7     3.5     3.9    62.0   202.3
2011 05 10  0006   55691     360    0    -1.8    -1.2     3.4     4.0    57.1   212.0
2011 05 10  0007   55691     420    0    -1.8    -0.8     3.5     4.0    60.6   204.4
2011 05 10  0008   55691     480    0    -2.0    -0.6     3.6     4.2    60.0   197.7
2011 05 10  0009   55691     540    0    -2.1    -0.9     3.7     4.3    58.2   203.7
2011 05 10  0010   55691     600    0    -2.2    -0.8     3.8     4.4    58.6   200.1
2011 05 10  0011   55691     660    0    -1.9    -0.3     3.9     4.4    63.4   188.1
2011 05 10  0012   55691     720    0    -2.0     0.6     3.8     4.4    61.3   163.2
2011 05 10  0013   55691     780    0    -1.8     1.3     3.7     4.3    59.7   144.1
2011 05 10  0014   55691     840    0    -2.4     1.7     3.1     4.3    45.6   144.4
2011 05 10  0015   55691     900    0    -2.7     1.6     3.0     4.3    43.4   148.6
2011 05 10  0016   55691     960    0    -2.6     1.9     2.8     4.3    40.4   144.1
2011 05 10  0017   55691    1020    0    -2.5     2.6     2.3     4.3    33.1   134.0
2011 05 10  0018   55691    1080    0    -2.4     1.9     2.9     4.2    42.9   140.6
2011 05 10  0019   55691    1140    0    -2.3     1.9     2.8     4.1    43.6   140.4
2011 05 10  0020   55691    1200    0    -2.3     1.5     2.9     4.0    46.4   146.7
2011 05 10  0021   55691    1260    0    -2.3     1.5     2.9     4.0    45.9   146.7
2011 05 10  0022   55691    1320    0    -2.3     1.8     2.7     4.0    42.7   143.1
2011 05 10  0023   55691    1380    0    -2.4     2.1     2.5     4.1    38.0   139.1
2011 05 10  0024   55691    1440    0    -2.4     2.3     2.4     4.1    35.4   136.7
2011 05 10  0025   55691    1500    0    -2.6     2.2     2.3     4.1    34.5   140.1
2011 05 10  0026   55691    1560    0    -2.8     2.1     2.3     4.2    33.2   143.8
2011 05 10  0027   55691    1620    0    -2.7     2.6     1.8     4.1    25.2   136.7
2011 05 10  0028   55691    1680    0    -2.9     2.2     2.0     4.2    28.2   142.8
2011 05 10  0029   55691    1740    0    -3.0     2.3     1.4     4.1    19.7   142.2
2011 05 10  0030   55691    1800    0    -2.9     2.1     0.4     3.6     5.8   144.2
2011 05 10  0031   55691    1860    0    -2.9     1.2     2.6     4.1    38.7   157.0
2011 05 10  0032   55691    1920    0    -2.8     1.0     2.7     4.0    42.1   160.2
2011 05 10  0033   55691    1980    0    -2.9     1.4     2.4     4.0    36.7   154.4
2011 05 10  0034   55691    2040    0    -2.9     1.4     2.3     4.0    34.7   154.8
2011 05 10  0035   55691    2100    0    -2.9     1.2     2.1     3.8    34.0   158.0
2011 05 10  0036   55691    2160    0    -2.8     1.3     1.9     3.6    31.4   154.7
2011 05 10  0037   55691    2220    0    -2.1     2.0     0.3     2.9     5.3   136.6
2011 05 10  0038   55691    2280    0    -1.8     2.1    -0.5     2.8    -9.3   130.2
2011 05 10  0039   55691    2340    0    -0.1     2.3     1.1     2.6    25.5    91.9
2011 05 10  0040   55691    2400    0     0.1     1.9     1.5     2.4    37.8    88.3
2011 05 10  0041   55691    2460    0     0.4     1.6     1.7     2.3    46.0    75.8
2011 05 10  0042   55691    2520    0     0.3     0.9     1.9     2.1    62.0    69.7
2011 05 10  0043   55691    2580    0     0.4     0.3     1.3     1.4    68.5    39.1
2011 05 10  0044   55691    2640    0     0.8     0.5     1.4     1.6    57.0    30.5
2011 05 10  0045   55691    2700    0     0.6     0.3     1.7     1.8    68.4    28.8
2011 05 10  0046   55691    2760    0     0.3     0.6     1.9     2.0    70.1    61.0
2011 05 10  0047   55691    2820    0     0.1     0.5     2.0     2.1    76.5    76.6
2011 05 10  0048   55691    2880    0    -0.1     0.5     2.0     2.1    75.3    96.0
2011 05 10  0049   55691    2940    0    -0.3     0.5     1.9     2.0    73.0   120.3
2011 05 10  0050   55691    3000    0     0.2     0.4     1.6     1.7    74.5    55.9
2011 05 10  0051   55691    3060    0     0.2    -0.1     1.6     1.6    81.8   342.3
2011 05 10  0052   55691    3120    0     0.3    -0.3     1.8     1.8    76.2   316.6
2011 05 10  0053   55691    3180    0    -0.4     0.1     2.3     2.3    79.2   165.7
2011 05 10  0054   55691    3240    0    -2.2     1.2     1.3     2.8    26.9   150.7
2011 05 10  0055   55691    3300    0    -3.2     2.1     0.3     3.8     4.2   147.0
2011 05 10  0056   55691    3360    0    -3.7     2.4    -0.1     4.4    -1.2   147.2
