:Data_list: 20090321_ace_swepam_1m.txt
:Created: 2009 Mar 22 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2009 03 21  0000   54911       0    0        2.6      414.6     7.67e+04
2009 03 21  0001   54911      60    0        1.9      410.6     5.93e+04
2009 03 21  0002   54911     120    0        2.3      415.3     6.35e+04
2009 03 21  0003   54911     180    0        2.1      410.2     6.59e+04
2009 03 21  0004   54911     240    0        2.0      410.2     6.41e+04
2009 03 21  0005   54911     300    9    -9999.9    -9999.9    -1.00e+05
2009 03 21  0006   54911     360    0        1.9      397.9     4.50e+04
2009 03 21  0007   54911     420    9    -9999.9    -9999.9    -1.00e+05
2009 03 21  0008   54911     480    9    -9999.9    -9999.9    -1.00e+05
2009 03 21  0009   54911     540    9    -9999.9    -9999.9    -1.00e+05
2009 03 21  0010   54911     600    0        2.1      408.9     6.12e+04
2009 03 21  0011   54911     660    0        2.1      408.9     6.12e+04
2009 03 21  0012   54911     720    0        2.1      410.2     7.36e+04
2009 03 21  0013   54911     780    0        2.7      410.7     6.89e+04
2009 03 21  0014   54911     840    0        2.2      414.9     6.41e+04
2009 03 21  0015   54911     900    0        2.6      405.2     6.27e+04
2009 03 21  0016   54911     960    0        2.1      408.8     6.34e+04
2009 03 21  0017   54911    1020    0        2.3      407.0     6.04e+04
2009 03 21  0018   54911    1080    0        2.1      402.6     6.85e+04
2009 03 21  0019   54911    1140    0        2.2      405.5     5.93e+04
2009 03 21  0020   54911    1200    0        2.2      408.9     6.77e+04
2009 03 21  0021   54911    1260    9    -9999.9    -9999.9    -1.00e+05
2009 03 21  0022   54911    1320    0        2.2      407.5     6.01e+04
2009 03 21  0023   54911    1380    0        2.2      405.7     6.23e+04
2009 03 21  0024   54911    1440    0        2.2      403.4     6.99e+04
2009 03 21  0025   54911    1500    0        2.1      407.1     6.17e+04
2009 03 21  0026   54911    1560    0        2.1      405.6     5.95e+04
2009 03 21  0027   54911    1620    0        2.2      404.2     5.72e+04
2009 03 21  0028   54911    1680    0        2.1      401.9     6.50e+04
2009 03 21  0029   54911    1740    0        4.0      423.7     4.98e+04
2009 03 21  0030   54911    1800    0        2.5      418.9     5.26e+04
2009 03 21  0031   54911    1860    0        2.6      414.2     5.39e+04
2009 03 21  0032   54911    1920    0        2.4      418.0     5.94e+04
2009 03 21  0033   54911    1980    0        2.3      419.6     5.46e+04
2009 03 21  0034   54911    2040    0        2.2      418.6     5.31e+04
2009 03 21  0035   54911    2100    0        2.5      414.5     5.27e+04
2009 03 21  0036   54911    2160    0        2.0      414.2     5.50e+04
2009 03 21  0037   54911    2220    0        2.4      413.4     5.30e+04
2009 03 21  0038   54911    2280    0        2.0      416.5     5.20e+04
2009 03 21  0039   54911    2340    0        2.4      418.9     5.29e+04
2009 03 21  0040   54911    2400    0        2.2      418.3     5.69e+04
2009 03 21  0041   54911    2460    0        2.3      419.7     5.35e+04
2009 03 21  0042   54911    2520    0        2.3      422.1     5.34e+04
2009 03 21  0043   54911    2580    0        2.3      424.5     5.33e+04
2009 03 21  0044   54911    2640    0        2.3      422.9     5.25e+04
2009 03 21  0045   54911    2700    0        1.9      417.5     4.85e+04
2009 03 21  0046   54911    2760    0        2.5      407.3     6.41e+04
2009 03 21  0047   54911    2820    0        2.1      413.2     5.86e+04
2009 03 21  0048   54911    2880    0        2.3      411.6     5.47e+04
2009 03 21  0049   54911    2940    0        2.2      409.8     6.32e+04
2009 03 21  0050   54911    3000    0        2.3      411.6     5.91e+04
2009 03 21  0051   54911    3060    0        2.0      410.5     5.61e+04
2009 03 21  0052   54911    3120    0        2.2      406.7     6.21e+04
2009 03 21  0053   54911    3180    0        2.2      407.5     5.74e+04
2009 03 21  0054   54911    3240    9    -9999.9    -9999.9    -1.00e+05
2009 03 21  0055   54911    3300    0        2.0      408.9     5.62e+04
2009 03 21  0056   54911    3360    0        2.2      408.4     5.26e+04
2009 03 21  0057   54911    3420    0        2.1      407.9     5.32e+04
2009 03 21  0058   54911    3480    0        2.0      414.9     5.08e+04
2009 03 21  0059   54911    3540    0        2.0      422.0     4.84e+04
2009 03 21  0100   54911    3600    0        1.9      420.9     5.19e+04
2009 03 21  0101   54911    3660    0        2.2      413.8     5.25e+04
2009 03 21  0102   54911    3720    0        1.9      410.5     5.35e+04
2009 03 21  0103   54911    3780    0        2.4      416.9     5.19e+04
2009 03 21  0104   54911    3840    0        2.2      414.0     5.65e+04
