:Data_list: 20200223_ace_sis_5m.txt
:Created: 2020 Feb 24 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2020 02 23  0000    58902       0      0    2.53e+00    0    1.79e+00
2020 02 23  0005    58902     300      0    2.56e+00    0    1.80e+00
2020 02 23  0010    58902     600      0    2.57e+00    0    1.80e+00
2020 02 23  0015    58902     900      0    2.49e+00    0    1.75e+00
2020 02 23  0020    58902    1200      0    2.52e+00    0    1.77e+00
2020 02 23  0025    58902    1500      0    2.45e+00    0    1.72e+00
2020 02 23  0030    58902    1800      0    2.51e+00    0    1.75e+00
2020 02 23  0035    58902    2100      0    2.54e+00    0    1.78e+00
2020 02 23  0040    58902    2400      0    2.54e+00    0    1.80e+00
2020 02 23  0045    58902    2700      0    2.53e+00    0    1.80e+00
2020 02 23  0050    58902    3000      0    2.52e+00    0    1.77e+00
2020 02 23  0055    58902    3300      0    2.52e+00    0    1.79e+00
2020 02 23  0100    58902    3600      0    2.52e+00    0    1.75e+00
2020 02 23  0105    58902    3900      0    2.51e+00    0    1.76e+00
2020 02 23  0110    58902    4200      0    2.50e+00    0    1.75e+00
2020 02 23  0115    58902    4500      0    2.50e+00    0    1.74e+00
2020 02 23  0120    58902    4800      0    2.49e+00    0    1.73e+00
2020 02 23  0125    58902    5100      0    2.57e+00    0    1.81e+00
2020 02 23  0130    58902    5400      0    2.55e+00    0    1.79e+00
2020 02 23  0135    58902    5700      0    2.55e+00    0    1.79e+00
2020 02 23  0140    58902    6000      0    2.58e+00    0    1.83e+00
2020 02 23  0145    58902    6300      0    2.50e+00    0    1.75e+00
2020 02 23  0150    58902    6600      0    2.56e+00    0    1.80e+00
2020 02 23  0155    58902    6900      0    2.56e+00    0    1.79e+00
2020 02 23  0200    58902    7200      0    2.50e+00    0    1.76e+00
2020 02 23  0205    58902    7500      0    2.55e+00    0    1.80e+00
2020 02 23  0210    58902    7800      0    2.54e+00    0    1.78e+00
2020 02 23  0215    58902    8100      0    2.53e+00    0    1.78e+00
2020 02 23  0220    58902    8400      0    2.51e+00    0    1.76e+00
2020 02 23  0225    58902    8700      0    2.50e+00    0    1.76e+00
2020 02 23  0230    58902    9000      0    2.52e+00    0    1.77e+00
2020 02 23  0235    58902    9300      0    2.56e+00    0    1.79e+00
2020 02 23  0240    58902    9600      0    2.56e+00    0    1.82e+00
2020 02 23  0245    58902    9900      0    2.54e+00    0    1.78e+00
2020 02 23  0250    58902   10200      0    2.55e+00    0    1.79e+00
2020 02 23  0255    58902   10500      0    2.53e+00    0    1.77e+00
2020 02 23  0300    58902   10800      0    2.51e+00    0    1.76e+00
2020 02 23  0305    58902   11100      0    2.54e+00    0    1.78e+00
2020 02 23  0310    58902   11400      0    2.55e+00    0    1.79e+00
2020 02 23  0315    58902   11700      0    2.56e+00    0    1.79e+00
2020 02 23  0320    58902   12000      0    2.56e+00    0    1.80e+00
2020 02 23  0325    58902   12300      0    2.50e+00    0    1.75e+00
2020 02 23  0330    58902   12600      0    2.52e+00    0    1.78e+00
2020 02 23  0335    58902   12900      0    2.52e+00    0    1.77e+00
2020 02 23  0340    58902   13200      0    2.57e+00    0    1.81e+00
2020 02 23  0345    58902   13500      0    2.61e+00    0    1.85e+00
2020 02 23  0350    58902   13800      0    2.44e+00    0    1.71e+00
2020 02 23  0355    58902   14100      0    2.54e+00    0    1.80e+00
2020 02 23  0400    58902   14400      0    2.54e+00    0    1.78e+00
2020 02 23  0405    58902   14700      0    2.51e+00    0    1.76e+00
2020 02 23  0410    58902   15000      0    2.61e+00    0    1.83e+00
2020 02 23  0415    58902   15300      0    2.53e+00    0    1.77e+00
2020 02 23  0420    58902   15600      0    2.56e+00    0    1.80e+00
2020 02 23  0425    58902   15900      0    2.56e+00    0    1.80e+00
2020 02 23  0430    58902   16200      0    2.60e+00    0    1.83e+00
2020 02 23  0435    58902   16500      0    2.54e+00    0    1.79e+00
2020 02 23  0440    58902   16800      0    2.55e+00    0    1.78e+00
2020 02 23  0445    58902   17100      0    2.52e+00    0    1.75e+00
2020 02 23  0450    58902   17400      0    2.56e+00    0    1.78e+00
2020 02 23  0455    58902   17700      0    2.56e+00    0    1.81e+00
2020 02 23  0500    58902   18000      0    2.57e+00    0    1.80e+00
2020 02 23  0505    58902   18300      0    2.54e+00    0    1.78e+00
2020 02 23  0510    58902   18600      0    2.48e+00    0    1.73e+00
2020 02 23  0515    58902   18900      0    2.54e+00    0    1.79e+00
2020 02 23  0520    58902   19200      0    2.51e+00    0    1.77e+00
2020 02 23  0525    58902   19500      0    2.58e+00    0    1.83e+00
2020 02 23  0530    58902   19800      0    2.53e+00    0    1.80e+00
2020 02 23  0535    58902   20100      0    2.50e+00    0    1.77e+00
2020 02 23  0540    58902   20400      0    2.58e+00    0    1.81e+00
2020 02 23  0545    58902   20700      0    2.53e+00    0    1.76e+00
2020 02 23  0550    58902   21000      0    2.55e+00    0    1.78e+00
2020 02 23  0555    58902   21300      0    2.52e+00    0    1.75e+00
2020 02 23  0600    58902   21600      0    2.50e+00    0    1.78e+00
2020 02 23  0605    58902   21900      0    2.55e+00    0    1.79e+00
2020 02 23  0610    58902   22200      0    2.57e+00    0    1.81e+00
2020 02 23  0615    58902   22500      0    2.56e+00    0    1.78e+00
2020 02 23  0620    58902   22800      0    2.59e+00    0    1.82e+00
2020 02 23  0625    58902   23100      0    2.59e+00    0    1.81e+00
2020 02 23  0630    58902   23400      0    2.51e+00    0    1.76e+00
2020 02 23  0635    58902   23700      0    2.48e+00    0    1.75e+00
2020 02 23  0640    58902   24000      0    2.54e+00    0    1.79e+00
2020 02 23  0645    58902   24300      0    2.50e+00    0    1.75e+00
2020 02 23  0650    58902   24600      0    2.54e+00    0    1.78e+00
2020 02 23  0655    58902   24900      0    2.54e+00    0    1.77e+00
2020 02 23  0700    58902   25200      0    2.55e+00    0    1.78e+00
2020 02 23  0705    58902   25500      0    2.55e+00    0    1.80e+00
2020 02 23  0710    58902   25800      0    2.63e+00    0    1.85e+00
2020 02 23  0715    58902   26100      0    2.52e+00    0    1.75e+00
2020 02 23  0720    58902   26400      0    2.55e+00    0    1.79e+00
