:Data_list: 20200412_ace_sis_5m.txt
:Created: 2020 Apr 13 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2020 04 12  0000    58951       0      0    2.53e+00    0    1.77e+00
2020 04 12  0005    58951     300      0    2.42e+00    0    1.70e+00
2020 04 12  0010    58951     600      0    2.40e+00    0    1.66e+00
2020 04 12  0015    58951     900      0    2.43e+00    0    1.70e+00
2020 04 12  0020    58951    1200      0    2.47e+00    0    1.73e+00
2020 04 12  0025    58951    1500      0    2.48e+00    0    1.73e+00
2020 04 12  0030    58951    1800      0    2.45e+00    0    1.72e+00
2020 04 12  0035    58951    2100      0    2.47e+00    0    1.75e+00
2020 04 12  0040    58951    2400      0    2.48e+00    0    1.74e+00
2020 04 12  0045    58951    2700      0    2.46e+00    0    1.73e+00
2020 04 12  0050    58951    3000      0    2.46e+00    0    1.72e+00
2020 04 12  0055    58951    3300      0    2.41e+00    0    1.68e+00
2020 04 12  0100    58951    3600      0    2.45e+00    0    1.71e+00
2020 04 12  0105    58951    3900      0    2.45e+00    0    1.72e+00
2020 04 12  0110    58951    4200      0    2.56e+00    0    1.79e+00
2020 04 12  0115    58951    4500      0    2.46e+00    0    1.70e+00
2020 04 12  0120    58951    4800      0    2.43e+00    0    1.70e+00
2020 04 12  0125    58951    5100      0    2.50e+00    0    1.75e+00
2020 04 12  0130    58951    5400      0    2.50e+00    0    1.75e+00
2020 04 12  0135    58951    5700      0    2.49e+00    0    1.75e+00
2020 04 12  0140    58951    6000      0    2.48e+00    0    1.74e+00
2020 04 12  0145    58951    6300      0    2.44e+00    0    1.69e+00
2020 04 12  0150    58951    6600      0    2.45e+00    0    1.71e+00
2020 04 12  0155    58951    6900      0    2.44e+00    0    1.71e+00
2020 04 12  0200    58951    7200      0    2.50e+00    0    1.74e+00
2020 04 12  0205    58951    7500      0    2.50e+00    0    1.76e+00
2020 04 12  0210    58951    7800      0    2.43e+00    0    1.71e+00
2020 04 12  0215    58951    8100      0    2.49e+00    0    1.74e+00
2020 04 12  0220    58951    8400      0    2.45e+00    0    1.71e+00
2020 04 12  0225    58951    8700      0    2.47e+00    0    1.72e+00
2020 04 12  0230    58951    9000      0    2.44e+00    0    1.72e+00
2020 04 12  0235    58951    9300      0    2.46e+00    0    1.72e+00
2020 04 12  0240    58951    9600      0    2.51e+00    0    1.76e+00
2020 04 12  0245    58951    9900      0    2.46e+00    0    1.73e+00
2020 04 12  0250    58951   10200      0    2.44e+00    0    1.71e+00
2020 04 12  0255    58951   10500      0    2.46e+00    0    1.73e+00
2020 04 12  0300    58951   10800      0    2.43e+00    0    1.72e+00
2020 04 12  0305    58951   11100      0    2.44e+00    0    1.71e+00
2020 04 12  0310    58951   11400      0    2.44e+00    0    1.71e+00
2020 04 12  0315    58951   11700      0    2.50e+00    0    1.75e+00
2020 04 12  0320    58951   12000      0    2.49e+00    0    1.76e+00
2020 04 12  0325    58951   12300      0    2.48e+00    0    1.74e+00
2020 04 12  0330    58951   12600      0    2.48e+00    0    1.75e+00
