:Data_list: 20101210_ace_swepam_1m.txt
:Created: 2010 Dec 11 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2010 12 10  0000   55540       0    0        1.1      330.7     3.98e+04
2010 12 10  0001   55540      60    0        1.3      328.6     3.72e+04
2010 12 10  0002   55540     120    0        1.5      326.5     3.45e+04
2010 12 10  0003   55540     180    0        1.4      326.0     3.72e+04
2010 12 10  0004   55540     240    0        1.4      326.9     2.90e+04
2010 12 10  0005   55540     300    0        1.2      327.7     3.63e+04
2010 12 10  0006   55540     360    0        1.1      331.2     3.91e+04
2010 12 10  0007   55540     420    0        1.1      327.5     4.72e+04
2010 12 10  0008   55540     480    0        1.6      325.0     3.68e+04
2010 12 10  0009   55540     540    0        1.3      327.5     3.54e+04
2010 12 10  0010   55540     600    0        1.1      329.9     3.92e+04
2010 12 10  0011   55540     660    9    -9999.9    -9999.9    -1.00e+05
2010 12 10  0012   55540     720    0        1.2      331.7     4.41e+04
2010 12 10  0013   55540     780    0        1.3      324.9     3.38e+04
2010 12 10  0014   55540     840    0        1.0      328.6     4.12e+04
2010 12 10  0015   55540     900    0        0.9      327.2     2.78e+04
2010 12 10  0016   55540     960    0        1.0      328.3     3.52e+04
2010 12 10  0017   55540    1020    0        0.9      328.7     3.36e+04
2010 12 10  0018   55540    1080    0        0.9      329.0     3.20e+04
2010 12 10  0019   55540    1140    0        1.3      327.0     2.69e+04
2010 12 10  0020   55540    1200    0        1.0      332.6     3.57e+04
2010 12 10  0021   55540    1260    0        1.1      334.1     3.47e+04
2010 12 10  0022   55540    1320    0        1.2      331.1     3.51e+04
2010 12 10  0023   55540    1380    0        1.4      330.0     3.09e+04
2010 12 10  0024   55540    1440    0        1.3      331.8     3.64e+04
2010 12 10  0025   55540    1500    0        1.2      332.3     3.01e+04
2010 12 10  0026   55540    1560    0        1.0      331.0     3.59e+04
2010 12 10  0027   55540    1620    0        1.2      332.1     3.02e+04
2010 12 10  0028   55540    1680    0        1.1      330.5     3.27e+04
2010 12 10  0029   55540    1740    0        0.8      332.9     3.73e+04
2010 12 10  0030   55540    1800    0        1.1      330.9     3.85e+04
2010 12 10  0031   55540    1860    0        1.0      334.0     3.99e+04
2010 12 10  0032   55540    1920    0        0.9      331.7     4.22e+04
2010 12 10  0033   55540    1980    0        1.1      331.9     3.75e+04
2010 12 10  0034   55540    2040    0        1.2      332.0     3.28e+04
