:Data_list: 20090629_ace_swepam_1m.txt
:Created: 2009 Jun 30 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2009 06 29  0000   55011       0    9    -9999.9    -9999.9    -1.00e+05
2009 06 29  0001   55011      60    0        7.6      420.4     1.22e+05
2009 06 29  0002   55011     120    0        8.2      418.7     1.27e+05
2009 06 29  0003   55011     180    0        7.5      422.8     1.33e+05
2009 06 29  0004   55011     240    0        7.6      424.7     1.16e+05
2009 06 29  0005   55011     300    0        7.5      424.0     1.08e+05
2009 06 29  0006   55011     360    0        7.5      427.3     1.19e+05
2009 06 29  0007   55011     420    0        7.1      428.3     1.08e+05
2009 06 29  0008   55011     480    0        6.9      423.0     1.14e+05
2009 06 29  0009   55011     540    0        6.9      423.6     1.09e+05
2009 06 29  0010   55011     600    0        6.8      425.6     1.04e+05
2009 06 29  0011   55011     660    0        6.9      422.5     1.19e+05
2009 06 29  0012   55011     720    0        6.7      423.8     1.01e+05
2009 06 29  0013   55011     780    0        7.0      423.1     1.02e+05
2009 06 29  0014   55011     840    0        6.5      419.6     1.09e+05
2009 06 29  0015   55011     900    0        6.3      420.7     1.13e+05
2009 06 29  0016   55011     960    0        6.6      418.2     1.12e+05
2009 06 29  0017   55011    1020    0        6.6      418.2     1.12e+05
2009 06 29  0018   55011    1080    0        6.6      418.9     1.15e+05
2009 06 29  0019   55011    1140    0        6.5      419.2     1.22e+05
2009 06 29  0020   55011    1200    0        6.4      420.7     1.08e+05
2009 06 29  0021   55011    1260    0        7.0      418.5     1.14e+05
2009 06 29  0022   55011    1320    0        6.2      422.4     1.16e+05
2009 06 29  0023   55011    1380    9    -9999.9    -9999.9    -1.00e+05
2009 06 29  0024   55011    1440    0        6.2      422.1     1.09e+05
2009 06 29  0025   55011    1500    0        6.5      420.6     1.11e+05
2009 06 29  0026   55011    1560    0        6.4      422.4     1.12e+05
2009 06 29  0027   55011    1620    0        6.4      425.9     1.17e+05
2009 06 29  0028   55011    1680    0        6.5      425.1     1.30e+05
2009 06 29  0029   55011    1740    0        6.6      427.0     1.16e+05
2009 06 29  0030   55011    1800    0        6.1      419.7     1.11e+05
2009 06 29  0031   55011    1860    0        6.4      419.2     1.27e+05
2009 06 29  0032   55011    1920    0        6.1      420.9     1.24e+05
2009 06 29  0033   55011    1980    0        6.1      420.9     1.24e+05
2009 06 29  0034   55011    2040    0        6.5      418.5     1.17e+05
