:Data_list: 20100126_ace_swepam_1m.txt
:Created: 2010 Jan 27 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2010 01 26  0000   55222       0    1        1.0      382.5     6.41e+04
2010 01 26  0001   55222      60    1        0.7      384.7     5.20e+04
2010 01 26  0002   55222     120    1        0.8      387.3     4.15e+04
2010 01 26  0003   55222     180    1        0.9      389.9     4.22e+04
2010 01 26  0004   55222     240    0        0.8      388.0     3.85e+04
2010 01 26  0005   55222     300    0        0.8      387.7     5.23e+04
2010 01 26  0006   55222     360    1        0.8      389.0     3.70e+04
2010 01 26  0007   55222     420    1        0.9      390.3     4.34e+04
2010 01 26  0008   55222     480    1        0.9      390.3     4.34e+04
2010 01 26  0009   55222     540    1        1.0      392.2     4.33e+04
2010 01 26  0010   55222     600    1        1.0      389.0     4.24e+04
2010 01 26  0011   55222     660    0        1.2      387.3     6.17e+04
2010 01 26  0012   55222     720    0        1.1      391.2     6.25e+04
2010 01 26  0013   55222     780    1        1.2      389.4     4.85e+04
2010 01 26  0014   55222     840    1        0.8      386.1     6.74e+04
2010 01 26  0015   55222     900    1        0.8      391.4     4.79e+04
2010 01 26  0016   55222     960    0        0.8      387.9     8.06e+04
2010 01 26  0017   55222    1020    1        0.9      389.2     5.59e+04
2010 01 26  0018   55222    1080    0        0.8      384.7     7.47e+04
2010 01 26  0019   55222    1140    1        1.2      379.3     7.75e+04
2010 01 26  0020   55222    1200    0        0.8      387.2     6.34e+04
2010 01 26  0021   55222    1260    1        0.9      385.1     6.44e+04
2010 01 26  0022   55222    1320    1        0.7      391.0     5.24e+04
2010 01 26  0023   55222    1380    1        0.8      386.8     5.91e+04
2010 01 26  0024   55222    1440    1        0.8      386.8     5.91e+04
2010 01 26  0025   55222    1500    1        0.9      382.0     1.24e+05
2010 01 26  0026   55222    1560    0        0.9      387.4     7.68e+04
2010 01 26  0027   55222    1620    1        0.8      391.4     6.33e+04
2010 01 26  0028   55222    1680    1    -9999.9    -9999.9    -1.00e+05
2010 01 26  0029   55222    1740    1        0.9      387.0     7.17e+04
2010 01 26  0030   55222    1800    1        0.8      387.2     9.06e+04
2010 01 26  0031   55222    1860    1        0.9      385.6     7.90e+04
2010 01 26  0032   55222    1920    0        0.8      388.3     7.04e+04
2010 01 26  0033   55222    1980    0        1.3      373.1     9.98e+04
2010 01 26  0034   55222    2040    1        1.1      376.2     1.21e+05
2010 01 26  0035   55222    2100    0        1.0      375.8     1.09e+05
2010 01 26  0036   55222    2160    1        1.0      383.8     9.72e+04
2010 01 26  0037   55222    2220    0        1.1      377.5     1.18e+05
2010 01 26  0038   55222    2280    0        1.5      362.5     1.13e+05
