:Data_list: 20180715_ace_sis_5m.txt
:Created: 2018 Jul 15 0901 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2018 07 15  0000    58314       0      9   -1.00e+05    9   -1.00e+05
2018 07 15  0005    58314     300      9   -1.00e+05    9   -1.00e+05
2018 07 15  0010    58314     600      9   -1.00e+05    9   -1.00e+05
2018 07 15  0015    58314     900      9   -1.00e+05    9   -1.00e+05
2018 07 15  0020    58314    1200      9   -1.00e+05    9   -1.00e+05
2018 07 15  0025    58314    1500      9   -1.00e+05    9   -1.00e+05
2018 07 15  0030    58314    1800      9   -1.00e+05    9   -1.00e+05
2018 07 15  0035    58314    2100      9   -1.00e+05    9   -1.00e+05
2018 07 15  0040    58314    2400      9   -1.00e+05    9   -1.00e+05
2018 07 15  0045    58314    2700      9   -1.00e+05    9   -1.00e+05
2018 07 15  0050    58314    3000      9   -1.00e+05    9   -1.00e+05
2018 07 15  0055    58314    3300      9   -1.00e+05    9   -1.00e+05
2018 07 15  0100    58314    3600      9   -1.00e+05    9   -1.00e+05
2018 07 15  0105    58314    3900      9   -1.00e+05    9   -1.00e+05
2018 07 15  0110    58314    4200      9   -1.00e+05    9   -1.00e+05
2018 07 15  0115    58314    4500      9   -1.00e+05    9   -1.00e+05
2018 07 15  0120    58314    4800      9   -1.00e+05    9   -1.00e+05
2018 07 15  0125    58314    5100      9   -1.00e+05    9   -1.00e+05
2018 07 15  0130    58314    5400      9   -1.00e+05    9   -1.00e+05
2018 07 15  0135    58314    5700      9   -1.00e+05    9   -1.00e+05
2018 07 15  0140    58314    6000      9   -1.00e+05    9   -1.00e+05
2018 07 15  0145    58314    6300      9   -1.00e+05    9   -1.00e+05
2018 07 15  0150    58314    6600      9   -1.00e+05    9   -1.00e+05
2018 07 15  0155    58314    6900      9   -1.00e+05    9   -1.00e+05
2018 07 15  0200    58314    7200      9   -1.00e+05    9   -1.00e+05
2018 07 15  0205    58314    7500      9   -1.00e+05    9   -1.00e+05
2018 07 15  0210    58314    7800      9   -1.00e+05    9   -1.00e+05
2018 07 15  0215    58314    8100      9   -1.00e+05    9   -1.00e+05
2018 07 15  0220    58314    8400      9   -1.00e+05    9   -1.00e+05
2018 07 15  0225    58314    8700      9   -1.00e+05    9   -1.00e+05
2018 07 15  0230    58314    9000      9   -1.00e+05    9   -1.00e+05
2018 07 15  0235    58314    9300      0    2.18e+00    0    1.51e+00
2018 07 15  0240    58314    9600      0    2.24e+00    0    1.57e+00
2018 07 15  0245    58314    9900      0    2.25e+00    0    1.58e+00
2018 07 15  0250    58314   10200      0    2.18e+00    0    1.53e+00
2018 07 15  0255    58314   10500      0    2.23e+00    0    1.57e+00
2018 07 15  0300    58314   10800      0    2.22e+00    0    1.56e+00
2018 07 15  0305    58314   11100      0    2.25e+00    0    1.57e+00
2018 07 15  0310    58314   11400      0    2.16e+00    0    1.53e+00
2018 07 15  0315    58314   11700      0    2.19e+00    0    1.53e+00
2018 07 15  0320    58314   12000      0    2.21e+00    0    1.54e+00
2018 07 15  0325    58314   12300      0    2.22e+00    0    1.55e+00
2018 07 15  0330    58314   12600      0    2.20e+00    0    1.56e+00
2018 07 15  0335    58314   12900      0    2.20e+00    0    1.53e+00
2018 07 15  0340    58314   13200      0    2.17e+00    0    1.52e+00
2018 07 15  0345    58314   13500      0    2.24e+00    0    1.56e+00
2018 07 15  0350    58314   13800      0    2.19e+00    0    1.53e+00
2018 07 15  0355    58314   14100      0    2.18e+00    0    1.53e+00
2018 07 15  0400    58314   14400      0    2.21e+00    0    1.54e+00
2018 07 15  0405    58314   14700      0    2.23e+00    0    1.56e+00
2018 07 15  0410    58314   15000      0    2.22e+00    0    1.56e+00
2018 07 15  0415    58314   15300      0    2.14e+00    0    1.49e+00
2018 07 15  0420    58314   15600      0    2.22e+00    0    1.56e+00
2018 07 15  0425    58314   15900      0    2.22e+00    0    1.57e+00
2018 07 15  0430    58314   16200      0    2.23e+00    0    1.57e+00
2018 07 15  0435    58314   16500      0    2.21e+00    0    1.54e+00
2018 07 15  0440    58314   16800      0    2.27e+00    0    1.59e+00
2018 07 15  0445    58314   17100      0    2.27e+00    0    1.60e+00
2018 07 15  0450    58314   17400      0    2.25e+00    0    1.58e+00
2018 07 15  0455    58314   17700      0    2.23e+00    0    1.58e+00
2018 07 15  0500    58314   18000      0    2.22e+00    0    1.56e+00
2018 07 15  0505    58314   18300      0    2.22e+00    0    1.55e+00
2018 07 15  0510    58314   18600      0    2.11e+00    0    1.47e+00
2018 07 15  0515    58314   18900      0    2.25e+00    0    1.57e+00
2018 07 15  0520    58314   19200      0    2.19e+00    0    1.53e+00
2018 07 15  0525    58314   19500      0    2.19e+00    0    1.56e+00
2018 07 15  0530    58314   19800      0    2.23e+00    0    1.57e+00
2018 07 15  0535    58314   20100      0    2.18e+00    0    1.52e+00
2018 07 15  0540    58314   20400      0    2.16e+00    0    1.51e+00
2018 07 15  0545    58314   20700      0    2.23e+00    0    1.56e+00
2018 07 15  0550    58314   21000      0    2.16e+00    0    1.50e+00
2018 07 15  0555    58314   21300      0    2.18e+00    0    1.52e+00
2018 07 15  0600    58314   21600      0    2.21e+00    0    1.55e+00
2018 07 15  0605    58314   21900      0    2.14e+00    0    1.49e+00
2018 07 15  0610    58314   22200      0    2.12e+00    0    1.48e+00
2018 07 15  0615    58314   22500      0    2.13e+00    0    1.50e+00
2018 07 15  0620    58314   22800      0    2.14e+00    0    1.49e+00
2018 07 15  0625    58314   23100      0    2.17e+00    0    1.53e+00
2018 07 15  0630    58314   23400      0    2.18e+00    0    1.53e+00
2018 07 15  0635    58314   23700      0    2.22e+00    0    1.55e+00
2018 07 15  0640    58314   24000      0    2.17e+00    0    1.51e+00
2018 07 15  0645    58314   24300      0    2.21e+00    0    1.54e+00
2018 07 15  0650    58314   24600      0    2.16e+00    0    1.53e+00
2018 07 15  0655    58314   24900      0    2.16e+00    0    1.53e+00
2018 07 15  0700    58314   25200      0    2.19e+00    0    1.52e+00
2018 07 15  0705    58314   25500      0    2.19e+00    0    1.53e+00
2018 07 15  0710    58314   25800      0    2.23e+00    0    1.56e+00
2018 07 15  0715    58314   26100      0    2.22e+00    0    1.55e+00
2018 07 15  0720    58314   26400      0    2.23e+00    0    1.57e+00
2018 07 15  0725    58314   26700      0    2.14e+00    0    1.50e+00
2018 07 15  0730    58314   27000      0    2.19e+00    0    1.52e+00
2018 07 15  0735    58314   27300      0    2.19e+00    0    1.54e+00
2018 07 15  0740    58314   27600      0    2.25e+00    0    1.58e+00
2018 07 15  0745    58314   27900      0    2.19e+00    0    1.53e+00
2018 07 15  0750    58314   28200      0    2.21e+00    0    1.55e+00
2018 07 15  0755    58314   28500      0    2.18e+00    0    1.53e+00
2018 07 15  0800    58314   28800      0    2.21e+00    0    1.54e+00
2018 07 15  0805    58314   29100      0    2.22e+00    0    1.56e+00
2018 07 15  0810    58314   29400      0    2.20e+00    0    1.53e+00
2018 07 15  0815    58314   29700      0    2.17e+00    0    1.51e+00
2018 07 15  0820    58314   30000      0    2.15e+00    0    1.52e+00
2018 07 15  0825    58314   30300      0    2.18e+00    0    1.53e+00
2018 07 15  0830    58314   30600      0    2.18e+00    0    1.53e+00
2018 07 15  0835    58314   30900      0    2.18e+00    0    1.53e+00
