:Data_list: 20221229_ace_sis_5m.txt
:Created: 2022 Dec 30 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2022 12 29  0000    59942       0      0    1.18e+00    0    8.18e-01
2022 12 29  0005    59942     300      0    1.22e+00    0    8.71e-01
2022 12 29  0010    59942     600      0    1.23e+00    0    8.52e-01
2022 12 29  0015    59942     900      0    1.22e+00    0    8.36e-01
2022 12 29  0020    59942    1200      0    1.20e+00    0    8.13e-01
2022 12 29  0025    59942    1500      0    1.17e+00    0    8.31e-01
2022 12 29  0030    59942    1800      0    1.16e+00    0    8.09e-01
2022 12 29  0035    59942    2100      0    1.19e+00    0    8.41e-01
2022 12 29  0040    59942    2400      0    1.16e+00    0    8.38e-01
2022 12 29  0045    59942    2700      0    1.28e+00    0    9.17e-01
2022 12 29  0050    59942    3000      0    1.21e+00    0    8.50e-01
2022 12 29  0055    59942    3300      0    1.19e+00    0    8.10e-01
2022 12 29  0100    59942    3600      0    1.19e+00    0    8.25e-01
2022 12 29  0105    59942    3900      0    1.15e+00    0    8.13e-01
2022 12 29  0110    59942    4200      0    1.14e+00    0    7.84e-01
2022 12 29  0115    59942    4500      0    1.11e+00    0    7.84e-01
2022 12 29  0120    59942    4800      0    1.22e+00    0    8.44e-01
2022 12 29  0125    59942    5100      0    1.21e+00    0    8.63e-01
2022 12 29  0130    59942    5400      0    1.30e+00    0    9.14e-01
2022 12 29  0135    59942    5700      0    1.19e+00    0    8.38e-01
2022 12 29  0140    59942    6000      0    1.21e+00    0    8.28e-01
2022 12 29  0145    59942    6300      0    1.22e+00    0    8.76e-01
2022 12 29  0150    59942    6600      0    1.18e+00    0    8.54e-01
2022 12 29  0155    59942    6900      0    1.25e+00    0    8.79e-01
2022 12 29  0200    59942    7200      0    1.20e+00    0    8.45e-01
2022 12 29  0205    59942    7500      0    1.27e+00    0    9.24e-01
2022 12 29  0210    59942    7800      0    1.23e+00    0    8.71e-01
2022 12 29  0215    59942    8100      0    1.21e+00    0    8.49e-01
2022 12 29  0220    59942    8400      0    1.22e+00    0    8.46e-01
2022 12 29  0225    59942    8700      0    1.27e+00    0    9.00e-01
2022 12 29  0230    59942    9000      0    1.26e+00    0    8.73e-01
2022 12 29  0235    59942    9300      0    1.24e+00    0    8.68e-01
2022 12 29  0240    59942    9600      0    1.19e+00    0    8.23e-01
2022 12 29  0245    59942    9900      0    1.16e+00    0    8.10e-01
2022 12 29  0250    59942   10200      0    1.21e+00    0    8.36e-01
2022 12 29  0255    59942   10500      0    1.18e+00    0    8.03e-01
2022 12 29  0300    59942   10800      0    1.22e+00    0    8.41e-01
2022 12 29  0305    59942   11100      0    1.28e+00    0    9.24e-01
2022 12 29  0310    59942   11400      0    1.13e+00    0    8.09e-01
2022 12 29  0315    59942   11700      0    1.16e+00    0    8.06e-01
2022 12 29  0320    59942   12000      0    1.21e+00    0    8.58e-01
2022 12 29  0325    59942   12300      0    1.17e+00    0    8.58e-01
2022 12 29  0330    59942   12600      0    1.12e+00    0    8.15e-01
2022 12 29  0335    59942   12900      0    1.10e+00    0    7.88e-01
2022 12 29  0340    59942   13200      0    1.24e+00    0    8.70e-01
2022 12 29  0345    59942   13500      0    1.24e+00    0    8.71e-01
2022 12 29  0350    59942   13800      0    1.28e+00    0    9.15e-01
2022 12 29  0355    59942   14100      9   -1.00e+05    9   -1.00e+05
2022 12 29  0400    59942   14400      0    1.26e+00    0    8.91e-01
2022 12 29  0405    59942   14700      0    1.16e+00    0    8.09e-01
2022 12 29  0410    59942   15000      0    1.18e+00    0    8.24e-01
2022 12 29  0415    59942   15300      0    1.24e+00    0    8.80e-01
2022 12 29  0420    59942   15600      0    1.13e+00    0    7.91e-01
2022 12 29  0425    59942   15900      0    1.20e+00    0    8.24e-01
2022 12 29  0430    59942   16200      0    1.19e+00    0    8.45e-01
