:Data_list: 20241108_ace_sis_5m.txt
:Created: 2024 Nov 08 1001 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2024 11 08  0000    60622       0      0    2.08e+01    0    1.29e+01
2024 11 08  0005    60622     300      0    1.21e+01    0    3.76e+00
2024 11 08  0010    60622     600      0    1.41e+01    0    6.74e+00
2024 11 08  0015    60622     900      0    2.24e+01    0    1.25e+01
2024 11 08  0020    60622    1200      0    2.22e+01    0    1.66e+01
2024 11 08  0025    60622    1500      0    2.14e+01    0    1.71e+01
2024 11 08  0030    60622    1800      0    1.64e+01    0    1.13e+01
2024 11 08  0035    60622    2100      0    1.82e+01    0    1.26e+01
2024 11 08  0040    60622    2400      0    2.43e+01    0    1.86e+01
2024 11 08  0045    60622    2700      0    8.76e+00    0    7.07e+00
2024 11 08  0050    60622    3000      0    2.13e+01    0    8.38e+00
2024 11 08  0055    60622    3300      0    1.29e+01    0    6.85e+00
2024 11 08  0100    60622    3600      0    2.22e+01    0    1.14e+01
2024 11 08  0105    60622    3900      0    1.49e+01    0    8.19e+00
2024 11 08  0110    60622    4200      0    2.72e+01    0    1.86e+01
2024 11 08  0115    60622    4500      0    2.29e+01    0    1.42e+01
2024 11 08  0120    60622    4800      0    3.85e+01    0    2.42e+01
2024 11 08  0125    60622    5100      0    2.12e+01    0    1.07e+01
2024 11 08  0130    60622    5400      0    2.40e+01    0    1.53e+01
2024 11 08  0135    60622    5700      0    2.34e+01    0    1.51e+01
2024 11 08  0140    60622    6000      0    2.23e+01    0    1.36e+01
2024 11 08  0145    60622    6300      0    1.87e+01    0    9.43e+00
2024 11 08  0150    60622    6600      0    1.98e+01    0    1.12e+01
2024 11 08  0155    60622    6900      0    1.34e+01    0    8.55e+00
2024 11 08  0200    60622    7200      0    2.14e+01    0    1.11e+01
2024 11 08  0205    60622    7500      0    1.84e+01    0    1.51e+01
2024 11 08  0210    60622    7800      0    3.28e+01    0    1.56e+01
2024 11 08  0215    60622    8100      0    2.16e+01    0    1.49e+01
2024 11 08  0220    60622    8400      0    2.62e+01    0    1.47e+01
2024 11 08  0225    60622    8700      0    2.10e+01    0    1.21e+01
2024 11 08  0230    60622    9000      0    2.03e+01    0    1.20e+01
