:Data_list: 20090529_ace_swepam_1m.txt
:Created: 2009 May 30 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2009 05 29  0000   54980       0    0        1.6      403.3     9.64e+04
2009 05 29  0001   54980      60    0        1.5      404.3     9.71e+04
2009 05 29  0002   54980     120    0        1.6      405.0     9.83e+04
2009 05 29  0003   54980     180    0        1.5      405.1     1.06e+05
2009 05 29  0004   54980     240    0        1.9      404.8     1.09e+05
2009 05 29  0005   54980     300    0        1.6      405.7     1.03e+05
2009 05 29  0006   54980     360    1        1.8      406.4     1.15e+05
2009 05 29  0007   54980     420    0        1.5      405.2     1.00e+05
2009 05 29  0008   54980     480    0        1.5      402.2     1.01e+05
2009 05 29  0009   54980     540    0        1.4      404.5     1.02e+05
2009 05 29  0010   54980     600    0        1.5      401.8     9.63e+04
2009 05 29  0011   54980     660    0        1.4      403.6     1.06e+05
2009 05 29  0012   54980     720    0        1.6      405.2     9.93e+04
2009 05 29  0013   54980     780    0        1.5      409.1     1.05e+05
2009 05 29  0014   54980     840    0        1.5      409.1     1.05e+05
2009 05 29  0015   54980     900    9    -9999.9    -9999.9    -1.00e+05
2009 05 29  0016   54980     960    0        1.6      406.1     9.44e+04
2009 05 29  0017   54980    1020    0        1.5      407.5     1.04e+05
2009 05 29  0018   54980    1080    0        1.8      406.6     9.39e+04
2009 05 29  0019   54980    1140    0        1.6      401.8     1.16e+05
2009 05 29  0020   54980    1200    1        1.5      397.3     8.44e+04
2009 05 29  0021   54980    1260    0        1.4      407.7     1.10e+05
2009 05 29  0022   54980    1320    0        1.7      402.8     1.12e+05
2009 05 29  0023   54980    1380    0        1.4      405.2     1.10e+05
2009 05 29  0024   54980    1440    0        1.5      404.1     1.24e+05
2009 05 29  0025   54980    1500    0        1.4      403.9     1.24e+05
2009 05 29  0026   54980    1560    0        1.3      406.5     1.12e+05
2009 05 29  0027   54980    1620    0        1.4      408.3     1.22e+05
2009 05 29  0028   54980    1680    0        1.6      406.7     1.10e+05
2009 05 29  0029   54980    1740    1        1.3      407.9     1.10e+05
2009 05 29  0030   54980    1800    1        1.3      407.9     1.10e+05
2009 05 29  0031   54980    1860    0        1.3      406.0     1.16e+05
2009 05 29  0032   54980    1920    1        1.2      403.8     1.22e+05
2009 05 29  0033   54980    1980    0        1.2      400.7     9.62e+04
2009 05 29  0034   54980    2040    0        0.9      396.9     1.03e+05
2009 05 29  0035   54980    2100    0        1.0      393.2     9.23e+04
2009 05 29  0036   54980    2160    0        0.8      401.9     1.36e+05
2009 05 29  0037   54980    2220    0        0.9      392.9     1.36e+05
2009 05 29  0038   54980    2280    0        0.9      397.8     1.21e+05
2009 05 29  0039   54980    2340    1        0.8      401.4     1.32e+05
2009 05 29  0040   54980    2400    1        0.9      399.5     1.15e+05
2009 05 29  0041   54980    2460    0        0.8      412.5     1.31e+05
2009 05 29  0042   54980    2520    0        0.6      399.2     1.43e+05
2009 05 29  0043   54980    2580    0        1.4      410.2     1.30e+05
2009 05 29  0044   54980    2640    1        0.6      407.5     8.92e+04
2009 05 29  0045   54980    2700    1        0.8      413.3     1.89e+05
