:Product: 201209_ace_loc_1h.txt
:Issued: 2012 Sep 30 0010 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: X, Y, and Z position in GSE coordinates in earth radii(Re)
#        Accuracy 0.1 earth radii (about 600 km)
# Range: X 0.0 to 300.0
# Range: Y and Z -200.0 to 200.0
# Missing data values: -999.9
#
#    Predicted ACE Satellite Locations in GSE Coordinates
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the    --- GSE Coordinates ---
# YR MO DA  HHMM    Day      Day       X        Y        Z
#-----------------------------------------------------------
2012 09 01  0000   56171       0     241.0    -34.4    -14.4
2012 09 01  0100   56171    3600     241.0    -34.4    -14.4
2012 09 01  0200   56171    7200     241.0    -34.5    -14.4
2012 09 01  0300   56171   10800     240.9    -34.5    -14.5
2012 09 01  0400   56171   14400     240.9    -34.5    -14.5
2012 09 01  0500   56171   18000     240.9    -34.6    -14.5
2012 09 01  0600   56171   21600     240.9    -34.6    -14.5
2012 09 01  0700   56171   25200     240.9    -34.7    -14.6
2012 09 01  0800   56171   28800     240.8    -34.7    -14.6
2012 09 01  0900   56171   32400     240.8    -34.7    -14.6
2012 09 01  1000   56171   36000     240.8    -34.8    -14.6
2012 09 01  1100   56171   39600     240.8    -34.8    -14.7
2012 09 01  1200   56171   43200     240.8    -34.9    -14.7
2012 09 01  1300   56171   46800     240.7    -34.9    -14.7
2012 09 01  1400   56171   50400     240.7    -34.9    -14.7
2012 09 01  1500   56171   54000     240.7    -35.0    -14.8
2012 09 01  1600   56171   57600     240.7    -35.0    -14.8
2012 09 01  1700   56171   61200     240.7    -35.0    -14.8
2012 09 01  1800   56171   64800     240.7    -35.1    -14.8
2012 09 01  1900   56171   68400     240.6    -35.1    -14.9
2012 09 01  2000   56171   72000     240.6    -35.2    -14.9
2012 09 01  2100   56171   75600     240.6    -35.2    -14.9
2012 09 01  2200   56171   79200     240.6    -35.2    -14.9
2012 09 01  2300   56171   82800     240.6    -35.3    -15.0
2012 09 02  0000   56172       0     240.5    -35.3    -15.0
2012 09 02  0100   56172    3600     240.5    -35.3    -15.0
2012 09 02  0200   56172    7200     240.5    -35.4    -15.0
2012 09 02  0300   56172   10800     240.5    -35.4    -15.1
2012 09 02  0400   56172   14400     240.5    -35.5    -15.1
2012 09 02  0500   56172   18000     240.4    -35.5    -15.1
2012 09 02  0600   56172   21600     240.4    -35.5    -15.1
2012 09 02  0700   56172   25200     240.4    -35.6    -15.1
2012 09 02  0800   56172   28800     240.4    -35.6    -15.2
2012 09 02  0900   56172   32400     240.4    -35.6    -15.2
2012 09 02  1000   56172   36000     240.3    -35.7    -15.2
2012 09 02  1100   56172   39600     240.3    -35.7    -15.2
2012 09 02  1200   56172   43200     240.3    -35.7    -15.3
2012 09 02  1300   56172   46800     240.3    -35.8    -15.3
2012 09 02  1400   56172   50400     240.3    -35.8    -15.3
2012 09 02  1500   56172   54000     240.3    -35.9    -15.3
2012 09 02  1600   56172   57600     240.2    -35.9    -15.4
2012 09 02  1700   56172   61200     240.2    -35.9    -15.4
2012 09 02  1800   56172   64800     240.2    -36.0    -15.4
2012 09 02  1900   56172   68400     240.2    -36.0    -15.4
2012 09 02  2000   56172   72000     240.2    -36.0    -15.5
2012 09 02  2100   56172   75600     240.1    -36.1    -15.5
2012 09 02  2200   56172   79200     240.1    -36.1    -15.5
2012 09 02  2300   56172   82800     240.1    -36.1    -15.5
2012 09 03  0000   56173       0     240.1    -36.2    -15.5
2012 09 03  0100   56173    3600     240.1    -36.2    -15.6
2012 09 03  0200   56173    7200     240.1    -36.2    -15.6
2012 09 03  0300   56173   10800     240.0    -36.3    -15.6
2012 09 03  0400   56173   14400     240.0    -36.3    -15.6
2012 09 03  0500   56173   18000     240.0    -36.3    -15.7
2012 09 03  0600   56173   21600     240.0    -36.4    -15.7
2012 09 03  0700   56173   25200     240.0    -36.4    -15.7
2012 09 03  0800   56173   28800     239.9    -36.5    -15.7
2012 09 03  0900   56173   32400     239.9    -36.5    -15.8
2012 09 03  1000   56173   36000     239.9    -36.5    -15.8
2012 09 03  1100   56173   39600     239.9    -36.6    -15.8
2012 09 03  1200   56173   43200     239.9    -36.6    -15.8
2012 09 03  1300   56173   46800     239.9    -36.6    -15.8
2012 09 03  1400   56173   50400     239.8    -36.7    -15.9
2012 09 03  1500   56173   54000     239.8    -36.7    -15.9
2012 09 03  1600   56173   57600     239.8    -36.7    -15.9
2012 09 03  1700   56173   61200     239.8    -36.8    -15.9
2012 09 03  1800   56173   64800     239.8    -36.8    -16.0
2012 09 03  1900   56173   68400     239.8    -36.8    -16.0
2012 09 03  2000   56173   72000     239.7    -36.9    -16.0
2012 09 03  2100   56173   75600     239.7    -36.9    -16.0
2012 09 03  2200   56173   79200     239.7    -36.9    -16.1
2012 09 03  2300   56173   82800     239.7    -36.9    -16.1
2012 09 04  0000   56174       0     239.7    -37.0    -16.1
2012 09 04  0100   56174    3600     239.6    -37.0    -16.1
2012 09 04  0200   56174    7200     239.6    -37.0    -16.1
2012 09 04  0300   56174   10800     239.6    -37.1    -16.2
2012 09 04  0400   56174   14400     239.6    -37.1    -16.2
2012 09 04  0500   56174   18000     239.6    -37.1    -16.2
2012 09 04  0600   56174   21600     239.6    -37.2    -16.2
2012 09 04  0700   56174   25200     239.5    -37.2    -16.3
2012 09 04  0800   56174   28800     239.5    -37.2    -16.3
2012 09 04  0900   56174   32400     239.5    -37.3    -16.3
2012 09 04  1000   56174   36000     239.5    -37.3    -16.3
2012 09 04  1100   56174   39600     239.5    -37.3    -16.3
2012 09 04  1200   56174   43200     239.5    -37.4    -16.4
2012 09 04  1300   56174   46800     239.4    -37.4    -16.4
2012 09 04  1400   56174   50400     239.4    -37.4    -16.4
2012 09 04  1500   56174   54000     239.4    -37.5    -16.4
2012 09 04  1600   56174   57600     239.4    -37.5    -16.5
2012 09 04  1700   56174   61200     239.4    -37.5    -16.5
2012 09 04  1800   56174   64800     239.4    -37.5    -16.5
2012 09 04  1900   56174   68400     239.3    -37.6    -16.5
2012 09 04  2000   56174   72000     239.3    -37.6    -16.5
2012 09 04  2100   56174   75600     239.3    -37.6    -16.6
2012 09 04  2200   56174   79200     239.3    -37.7    -16.6
2012 09 04  2300   56174   82800     239.3    -37.7    -16.6
2012 09 05  0000   56175       0     239.3    -37.7    -16.6
2012 09 05  0100   56175    3600     239.2    -37.8    -16.7
2012 09 05  0200   56175    7200     239.2    -37.8    -16.7
2012 09 05  0300   56175   10800     239.2    -37.8    -16.7
2012 09 05  0400   56175   14400     239.2    -37.8    -16.7
2012 09 05  0500   56175   18000     239.2    -37.9    -16.7
2012 09 05  0600   56175   21600     239.2    -37.9    -16.8
2012 09 05  0700   56175   25200     239.1    -37.9    -16.8
2012 09 05  0800   56175   28800     239.1    -38.0    -16.8
2012 09 05  0900   56175   32400     239.1    -38.0    -16.8
2012 09 05  1000   56175   36000     239.1    -38.0    -16.9
2012 09 05  1100   56175   39600     239.1    -38.0    -16.9
2012 09 05  1200   56175   43200     239.1    -38.1    -16.9
