:Product: 202107_ace_loc_1h.txt
:Issued: 2021 Jul 22 0010 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: X, Y, and Z position in GSE coordinates in earth radii(Re)
#        Accuracy 0.1 earth radii (about 600 km)
# Range: X 0.0 to 300.0
# Range: Y and Z -200.0 to 200.0
# Missing data values: -999.9
#
#    Predicted ACE Satellite Locations in GSE Coordinates
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the    --- GSE Coordinates ---
# YR MO DA  HHMM    Day      Day       X        Y        Z
#-----------------------------------------------------------
2021 07 01  0000   59396       0     225.3     10.9     11.6
2021 07 01  0100   59396    3600     225.3     11.0     11.6
2021 07 01  0200   59396    7200     225.4     11.0     11.5
2021 07 01  0300   59396   10800     225.4     11.1     11.5
2021 07 01  0400   59396   14400     225.4     11.2     11.5
2021 07 01  0500   59396   18000     225.4     11.2     11.5
2021 07 01  0600   59396   21600     225.4     11.3     11.4
2021 07 01  0700   59396   25200     225.4     11.3     11.4
2021 07 01  0800   59396   28800     225.4     11.4     11.4
2021 07 01  0900   59396   32400     225.4     11.4     11.3
2021 07 01  1000   59396   36000     225.4     11.5     11.3
2021 07 01  1100   59396   39600     225.5     11.6     11.3
2021 07 01  1200   59396   43200     225.5     11.6     11.2
2021 07 01  1300   59396   46800     225.5     11.7     11.2
2021 07 01  1400   59396   50400     225.5     11.7     11.2
2021 07 01  1500   59396   54000     225.5     11.8     11.2
2021 07 01  1600   59396   57600     225.5     11.8     11.1
2021 07 01  1700   59396   61200     225.5     11.9     11.1
2021 07 01  1800   59396   64800     225.5     11.9     11.1
2021 07 01  1900   59396   68400     225.5     12.0     11.0
2021 07 01  2000   59396   72000     225.6     12.1     11.0
2021 07 01  2100   59396   75600     225.6     12.1     11.0
2021 07 01  2200   59396   79200     225.6     12.2     10.9
2021 07 01  2300   59396   82800     225.6     12.2     10.9
2021 07 02  0000   59397       0     225.6     12.3     10.9
2021 07 02  0100   59397    3600     225.6     12.3     10.8
2021 07 02  0200   59397    7200     225.6     12.4     10.8
2021 07 02  0300   59397   10800     225.6     12.5     10.8
