:Product: 200905_ace_loc_1h.txt
:Issued: 2009 May 31 2310 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: X, Y, and Z position in GSE coordinates in earth radii(Re)
#        Accuracy 0.1 earth radii (about 600 km)
# Range: X 0.0 to 300.0
# Range: Y and Z -200.0 to 200.0
# Missing data values: -999.9
#
#    Predicted ACE Satellite Locations in GSE Coordinates
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the    --- GSE Coordinates ---
# YR MO DA  HHMM    Day      Day       X        Y        Z
#-----------------------------------------------------------
2009 05 01  0000   54952       0     235.8    -39.0    -14.2
2009 05 01  0100   54952    3600     235.8    -39.0    -14.2
2009 05 01  0200   54952    7200     235.8    -39.0    -14.2
2009 05 01  0300   54952   10800     235.7    -39.0    -14.2
2009 05 01  0400   54952   14400     235.7    -39.0    -14.1
2009 05 01  0500   54952   18000     235.7    -39.0    -14.1
2009 05 01  0600   54952   21600     235.7    -39.0    -14.1
2009 05 01  0700   54952   25200     235.7    -39.0    -14.1
2009 05 01  0800   54952   28800     235.6    -39.0    -14.0
2009 05 01  0900   54952   32400     235.6    -39.0    -14.0
2009 05 01  1000   54952   36000     235.6    -39.0    -14.0
2009 05 01  1100   54952   39600     235.6    -39.0    -13.9
2009 05 01  1200   54952   43200     235.5    -39.0    -13.9
2009 05 01  1300   54952   46800     235.5    -39.0    -13.9
2009 05 01  1400   54952   50400     235.5    -39.0    -13.9
2009 05 01  1500   54952   54000     235.5    -39.1    -13.8
2009 05 01  1600   54952   57600     235.4    -39.1    -13.8
2009 05 01  1700   54952   61200     235.4    -39.1    -13.8
2009 05 01  1800   54952   64800     235.4    -39.1    -13.7
2009 05 01  1900   54952   68400     235.4    -39.1    -13.7
2009 05 01  2000   54952   72000     235.4    -39.1    -13.7
2009 05 01  2100   54952   75600     235.3    -39.1    -13.7
2009 05 01  2200   54952   79200     235.3    -39.1    -13.6
2009 05 01  2300   54952   82800     235.3    -39.1    -13.6
2009 05 02  0000   54953       0     235.3    -39.1    -13.6
2009 05 02  0100   54953    3600     235.2    -39.1    -13.5
2009 05 02  0200   54953    7200     235.2    -39.1    -13.5
2009 05 02  0300   54953   10800     235.2    -39.1    -13.5
2009 05 02  0400   54953   14400     235.2    -39.1    -13.5
2009 05 02  0500   54953   18000     235.2    -39.1    -13.4
2009 05 02  0600   54953   21600     235.1    -39.1    -13.4
2009 05 02  0700   54953   25200     235.1    -39.2    -13.4
2009 05 02  0800   54953   28800     235.1    -39.2    -13.3
2009 05 02  0900   54953   32400     235.1    -39.2    -13.3
2009 05 02  1000   54953   36000     235.1    -39.2    -13.3
2009 05 02  1100   54953   39600     235.0    -39.2    -13.3
2009 05 02  1200   54953   43200     235.0    -39.2    -13.2
2009 05 02  1300   54953   46800     235.0    -39.2    -13.2
2009 05 02  1400   54953   50400     235.0    -39.2    -13.2
2009 05 02  1500   54953   54000     234.9    -39.2    -13.1
2009 05 02  1600   54953   57600     234.9    -39.2    -13.1
2009 05 02  1700   54953   61200     234.9    -39.2    -13.1
